accession,n_ena_samples,n_runs,best_x_cov,total_x_cov,best_sample,platforms,studies,matched_on_field,matched_name,n_traits,total_envs,IMPROVEMENT_LEVEL,collection,PLANT_NAME,pedigree,countryOfOriginCode,panel_pri,in_eva_study,priority_score,action
PI 638550,1,1,4.0,4.0,SAMN17776925,ILLUMINA,PRJNA684330,cultivar,N552,30.0,33.0,Breeding material,Maize.Group.Ames.Panel.2010,N552,NS[S1]_08)-2182-4-3-3-1-1-1,USA,3.0,False,48.5,low depth - impute or top-up
PI 535924,1,1,5.1,5.1,SAMN41221394,ILLUMINA,PRJNA1108025,sample_title,S97,28.0,32.0,Cultivar,Maize.Group.Ames.Panel.2010,S 97,,POL,3.0,False,48.5,call variants (moderate depth)
PI 596505,1,1,3.3,3.3,SAMN17777000,ILLUMINA,PRJNA684330,cultivar,OC18,31.0,44.0,Breeding material,Maize.Group.Ames.Panel.2010,OC18,"Half-sib pollinations within a full-sib/S6 line derived from Pawnee x Tamaroa Flint received from Gail E. Wagner, Kettering, OH in 1982.",USA,3.0,False,48.3,low depth - impute or top-up
PI 599325,1,1,1.5,1.5,SAMN44603660,COMPLETE_GENOMICS,PRJNA1142968,cultivar,LH292,27.0,27.0,Cultivar,Maize.Group.PVP,LH292,( LH85 x LH61 ) X LH82.,USA,4.0,False,48.3,low depth - impute or top-up
PI 520772,1,1,4.3,4.3,SAMN51199927,ILLUMINA,PRJNA1321128,sample_alias,W572,29.0,45.0,Breeding material,Maize.Group.Ames.Panel.2010,W572,"B46/A635, 5s",USA,3.0,False,48.1,low depth - impute or top-up
PI 595552,1,1,9.2,9.2,SAMN44075610,ILLUMINA,PRJNA1170466,cultivar,CML20,20.0,35.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 20,Population 24: P 24 C5FS34-2-3-B-### .  Population 24 is also named Antigua-Veracruz 181 and its components are Tuxpeno race collections Veracruz 181 and Antigua Group-2 (Antigua collections 1D to 8D).,MEX,3.0,True,48.1,call variants (moderate depth)
PI 690618,1,1,3.0,3.0,SAMN00839368,ILLUMINA,,sample_alias,CML341,16.0,32.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 341,Population 43: LP SEQC3-H1-2-2-2-1-1-#-#-B-B .  Population 43 is also named La Posta and its components is a Tuxpeno synthetic composed of 16 inbred lines.,MEX,5.0,True,47.6,low depth - impute or top-up
PI 606334,1,1,6.5,6.5,SAMN44603663,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH1GC,17.0,17.0,Cultivar,Maize.Group.PVP,PH1GC,PHJ90 X PHFR8 specifically PHJ90/PHFR8)XB83W2X.  Variety PHFR8 was derived by pedigree selection from the F2 population of the single cross PHH93 X PHR25.,USA,4.0,False,47.6,call variants (moderate depth)
PI 592775,1,1,1.6,1.6,SAMN44603325,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH63A,26.0,26.0,Cultivar,Maize.Group.PVP,PH63A,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,4.0,False,47.6,low depth - impute or top-up
Ames 23428,4,4,4.9,14.6,SAMN14255821,ILLUMINA,PRJNA609577;PRJNA627044,cultivar,A375,27.0,58.0,Breeding material,Maize.Group.Ames.Panel.2010,A375,Reid Yellow Dent (selected from Holbert a line self ~S8),USA,3.0,True,47.4,low depth - impute or top-up
PI 592773,1,1,1.4,1.4,SAMN44603654,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH44A,26.0,26.0,Cultivar,Maize.Group.PVP,PH44A,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,4.0,False,47.3,low depth - impute or top-up
PI 520771,1,1,3.1,3.1,SAMN51199925,ILLUMINA,PRJNA1321128,sample_alias,W570,30.0,46.0,Breeding material,Maize.Group.Ames.Panel.2010,W570,"B46/A635, 5s",USA,3.0,False,47.1,low depth - impute or top-up
PI 590554,1,1,1.7,1.7,SAMN44603685,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PHNJ2,25.0,25.0,Cultivar,Maize.Group.PVP,PHNJ2,PHG80 X PHR47 specifically PHG80/PHR47)XC71122K11X,USA,4.0,False,47.0,low depth - impute or top-up
PI 641063,1,1,10.4,10.4,SAMN17776988,ILLUMINA,PRJNA684330,cultivar,TZEI3,16.0,18.0,Breeding material,Maize.Group.Ames.Panel.2010,TZEI 3,TZE-W Pop x 1368 STR S6 INB 4,NGA,3.0,False,46.7,call variants now
PI 595533,2,2,7.7,9.9,SAMN44075669,ILLUMINA,PRJNA1170466;PRJNA684330,cultivar,CML36,21.0,35.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 36,Population 32: P 32C4HC20-3-4-B-#-B or written in a different way: Pop.32C4 FS20-3-4-B-#-B-###,MEX,3.0,False,46.7,call variants (moderate depth)
PI 595366,1,1,2.8,2.8,SAMN17776915,ILLUMINA,PRJNA684330,cultivar,N209,30.0,34.0,Breeding material,Maize.Group.Ames.Panel.2010,N209,Developed by self pollination directly from NSS1(6). NSS1(6) is first replication of Nebraska Stiff Stalk Synthetic which had undergone six cycles of per se selection when selfing was initiated.,USA,3.0,False,46.7,low depth - impute or top-up
PI 708163,2,6,71.4,77.0,SAMEA114248081,ILLUMINA;PACBIO_SMRT,PRJEB64865;PRJNA239372,sample_title,Palomero Toluqueno,13.0,15.0,Landrace,,PALOMERO TOLUQUENO,,MEX,1.0,False,46.6,call variants now
PI 520773,1,1,4.2,4.2,SAMN51199930,ILLUMINA,PRJNA1321128,sample_alias,W576,27.0,28.0,Breeding material,Maize.Group.Ames.Panel.2010,W576,Sel. from Mo17 composite population,USA,3.0,False,46.3,low depth - impute or top-up
PI 685783,1,1,2.5,2.5,SAMN31504486,ILLUMINA,PRJNA894503,cultivar,GEMS_0022,30.0,30.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0022,2152-03_DK888_S11_F2S4_9205-Blk24/00,USA,3.0,False,46.2,low depth - impute or top-up
PI 597327,1,1,5.5,5.5,SAMN44603703,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH07D,17.0,17.0,Cultivar,Maize.Group.PVP,PH07D,PHMK0 X PHR61 specifically PHMK0/PHR61)XA01K2X.,USA,4.0,False,46.1,call variants (moderate depth)
PI 587138,5,5,3.1,13.2,SAMN14255643,ILLUMINA,PRJNA565870;PRJNA609577,cultivar,A554,14.0,19.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,A554,[(WD X Wf9) WD(2)],USA,5.0,True,46.1,low depth - impute or top-up
PI 597326,1,1,5.4,5.4,SAMN44603655,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH06N,17.0,17.0,Cultivar,Maize.Group.PVP,PH06N,PHP02 X PHJ90 specifically PHP02/PHJ90)X54142.,USA,4.0,False,46.0,call variants (moderate depth)
PI 597309,1,1,5.4,5.4,SAMN44603671,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PHDG1,17.0,17.0,Cultivar,Maize.Group.PVP,PHDG1,G50 X PHP02 specifically G50/PHP02)X3K132311.,USA,4.0,False,46.0,call variants (moderate depth)
PI 595559,1,1,2.9,2.9,SAMN17776948,ILLUMINA,PRJNA684330,cultivar,CML33,29.0,60.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 33,"Population 28: P 28 TSR (S2 bulk)-21-3-1-3-1-#### .  Population 28 is also named Amarillo Dentado and its components are Tuxpe?o, Caribbean, Brazilian germplasm, ETO amarillo, and 9 families from the tropical late yellow dent pool (Pool 26).",MEX,3.0,False,46.0,low depth - impute or top-up
PI 639047,1,1,2.3,2.3,SAMN31504482,ILLUMINA,PRJNA894503,cultivar,GEMS_0018,30.0,30.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0018,(DK888 x S11)-1-1-1-1,USA,3.0,False,45.9,low depth - impute or top-up
PI 642766,1,1,2.3,2.3,SAMN31504485,ILLUMINA,PRJNA894503,cultivar,GEMS_0025,30.0,30.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0025,2226-02_XL370A_S11_F2S4_9211-Blk25/00,USA,3.0,False,45.9,low depth - impute or top-up
PI 639054,1,1,2.2,2.2,SAMN31504484,ILLUMINA,PRJNA894503,cultivar,GEMS_0029,30.0,30.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0029,(DKXL370A x S11)-1-1,USA,3.0,False,45.8,low depth - impute or top-up
PI 693342,1,1,0.1,0.1,SAMN14649328,ILLUMINA,PRJNA627044,sample_title,A239,19.0,22.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,A239,A73 X A347,USA,5.0,False,45.7,re-sequence
PI 702901,1,1,3.2,3.2,SAMN17776980,ILLUMINA,PRJNA684330,cultivar,AusTRCF306343,28.0,30.0,Breeding material,Maize.Group.Ames.Panel.2010,AusTRCF 306343,{A619bm3 x Gn33}-2-1-1-1-1,AUS,3.0,False,45.7,low depth - impute or top-up
PI 595558,2,2,8.1,12.7,SAMN44075627,ILLUMINA,PRJNA1170466;PRJNA684330,cultivar,CML32,19.0,34.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 32,"Population 28: P 28 TSR (S2 bulk)-11-2-4-B-1-## .  Population 28 is also named Amarillo Dentado and its components are Tuxpe?o, Caribbean, Brazilian germplasm, ETO amarillo, and 9 families from the tropical late yellow dent pool (Pool 26).",MEX,3.0,True,45.7,call variants (moderate depth)
PI 595554,1,1,7.5,7.5,SAMN44075656,ILLUMINA,PRJNA1170466,cultivar,CML27,20.0,36.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 27,"Population 27: P 27 C5FS1-1-3-B-### .  Population 27 is also named Amarillo Cristalino-1 and its components are Tuxpeno, Cuba flints, ETO amarillo, and 15 families from the tropical late yellow flint pool (Pool 25).",MEX,3.0,False,45.6,call variants (moderate depth)
PI 602589,1,1,5.0,5.0,SAMN44603673,COMPLETE_GENOMICS,PRJNA1142968,cultivar,LH273,17.0,17.0,Cultivar,Maize.Group.PVP,LH273,LH59 x LH181.,USA,4.0,False,45.4,call variants (moderate depth)
PI 595845,1,1,0.1,0.1,SAMN44603698,COMPLETE_GENOMICS,PRJNA1142968,cultivar,LH236,26.0,27.0,Cultivar,Maize.Group.PVP,LH236,LH194 x LH195,USA,4.0,False,45.4,re-sequence
PI 594028,1,1,0.1,0.1,SAMN44603690,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH42B,26.0,26.0,Cultivar,Maize.Group.PVP,PH42B,"PHV23 X PHT11 specifically PHV23/PHT11)X51K12K2X .  The lines used in the development of PHV23 were proprietary lines PHG47 and PHDF2.  PHDF2 was derived from B73 and Pioneer proprietary inbred PH555.  PH555 parentage is 50% B37 and the other 50% contributed by B14, SWID, I205, L289-AS, OS420, and OS426.",USA,4.0,False,45.4,re-sequence
PI 587135,1,1,1.5,1.5,SAMN12770327,ILLUMINA,PRJNA565870,cultivar,IA5125,16.0,21.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Ia5125,[(IP39 X Tendermost) X IP39],USA,5.0,False,45.3,low depth - impute or top-up
PI 597342,1,1,4.9,4.9,SAMN44603680,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH79A,17.0,17.0,Cultivar,Maize.Group.PVP,PH79A,PHK35 X PHBW8 specifically PHK35/PHBW8)X31K36K1.,USA,4.0,False,45.2,low depth - impute or top-up
Ames 22022,1,1,8.3,8.3,SAMN09622462,ILLUMINA,PRJNA479960,sample_alias,C40,18.0,21.0,Cultivar,Maize.Group.Ames.Panel.2010,C40,957-3 X P51 (2),USA,3.0,False,45.1,call variants (moderate depth)
PI 595563,1,1,8.2,8.2,SAMN17776994,ILLUMINA,PRJNA684330,cultivar,CML283,18.0,46.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 283,"Pool 22: (Pool 22 x Pop.26)-2-2-2-1-BB-#### .  Pool 22 is also named Tropical intermediate yellow dent (TIYD) and its components are materials from Mexico, Cuba, the Dominican Republic, Antigua, Brazil, Peru, India, Colombia, Puerto Rico Argentina, and Central America.",MEX,3.0,False,45.0,call variants (moderate depth)
PI 602588,1,1,4.7,4.7,SAMN44603689,COMPLETE_GENOMICS,PRJNA1142968,cultivar,LH264,17.0,17.0,Cultivar,Maize.Group.PVP,LH264,LH211 x LH213.,USA,4.0,False,44.9,low depth - impute or top-up
PI 634213,1,1,2.6,2.6,SAMN17776966,ILLUMINA,PRJNA684330,cultivar,B119,28.0,30.0,Breeding material,Maize.Group.Ames.Panel.2010,B119,BS13(S)C7-0008-1-1-1-1-1-1,USA,3.0,False,44.8,low depth - impute or top-up
PI 690627,4,4,9.6,32.199999999999996,SAMN41826405,ILLUMINA,PRJNA1116581;PRJNA1123779;PRJNA1196311;PRJNA684330,cultivar,CML395,15.0,26.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 395,90323(B)-1-B-1-B*4,MEX,3.0,True,44.6,call variants (moderate depth)
PI 550455,1,1,1.9,1.9,SAMN12771055,ILLUMINA,PRJNA565870,cultivar,B67,29.0,48.0,Breeding material,Maize.Group.Ames.Panel.2010,B67,Selected from Iowa Stiff Stalk Synthetic using the doubled monoploid method.,USA,3.0,False,44.5,low depth - impute or top-up
PI 641266,1,1,8.9,8.9,SAMN17776963,ILLUMINA,PRJNA684330,cultivar,TZEEI21,16.0,30.0,Breeding material,Maize.Group.Ames.Panel.2010,TZEEI 21,TZEE-W Pop STR C0 S6 INB 35 2-3,NGA,3.0,False,44.4,call variants (moderate depth)
PI 690611,1,1,9.3,9.3,SAMN44075671,ILLUMINA,PRJNA1170466,cultivar,CML325,15.0,16.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 325,P45-C6-F28-1-2-B,MEX,3.0,True,44.2,call variants (moderate depth)
PI 698955,1,1,2.1,2.1,SAMN17776898,ILLUMINA,PRJNA684330,cultivar,H19,28.0,55.0,Breeding material,Maize.Group.Ames.Panel.2010,H19,,USA,3.0,False,44.0,low depth - impute or top-up
PI 550465,1,1,0.6,0.6,SAMN12770593,ILLUMINA,PRJNA565870,cultivar,B68,16.0,20.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B68,41.2504B/3*B14,USA,5.0,False,44.0,re-sequence
PI 597328,1,1,4.1,4.1,SAMN44603657,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH08A,17.0,17.0,Cultivar,Maize.Group.PVP,PH08A,"PHR41 X PHN82 specifically PHR41/PHN82)X512221X.  PHR41 was derived by pedigree selection from 949 X PHG47 (PVP Certificate No. 8600131 ).  Variety 949 is a non stiff stalk proprietary inbred of Pioneer Hi-Bred Int. Inc. that was developed in Tipton, Indiana in 1976.  Variety 949 was derived from a 3-way cross hybrid which traces back in breeding history such that 949 has a relative genotype composition of approximately 12% A21, 12% OH43, 37% C103, 11% derived from an SRS<br>population = Stiff Roots and Stalks derived from Krug population, 25% Female Composite (Derived from female composite open pollinated. The open pollinated means that after the bridging crosses were made it was open pollinated. It was composed of Pioneer inbreds that were good females), and less than 1% Ladyfinger Pop synthetic.",USA,4.0,False,44.0,low depth - impute or top-up
PI 690626,2,2,9.1,18.2,SAMN41826404,ILLUMINA,PRJNA1116581;PRJNA1123779,isolate,CML384,15.0,29.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 384,P502-C1-771-2-2-1-3-B,MEX,3.0,True,43.9,call variants (moderate depth)
PI 597325,1,1,4.0,4.0,SAMN44603681,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH05W,17.0,17.0,Cultivar,Maize.Group.PVP,PH05W,PHPR5 X PHHB9 specifically PHPR5/PHHB9)X642W33W1.,USA,4.0,False,43.9,low depth - impute or top-up
Ames 22441,1,1,7.5,7.5,SAMN17776931,ILLUMINA,PRJNA684330,cultivar,CH157,18.0,20.0,Breeding material,Maize.Group.Ames.Panel.2010,CH157,Undetermined,CAN,3.0,False,43.9,call variants (moderate depth)
PI 639051,1,1,2.5,2.5,SAMN31504483,ILLUMINA,PRJNA894503,cultivar,GEMS_0023,27.0,66.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0023,(DK888 x S11)-1-1,USA,3.0,False,43.8,low depth - impute or top-up
PI 605386,1,1,3.9,3.9,SAMN44603261,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH1TB,17.0,17.0,Cultivar,Maize.Group.PVP,PH1TB,PHP02 X ( PHP02 X (PHP02 X PHN82)) specifically PHP02<3PHN82)21W2135W1X.,USA,4.0,False,43.7,low depth - impute or top-up
PI 639043,1,1,2.4,2.4,SAMN31504481,ILLUMINA,PRJNA894503,cultivar,GEMS_0012,27.0,91.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0012,(DK888 x S11)-1-1,USA,3.0,False,43.6,low depth - impute or top-up
PI 599328,1,1,3.8,3.8,SAMN44603701,COMPLETE_GENOMICS,PRJNA1142968,cultivar,LH238,17.0,17.0,Cultivar,Maize.Group.PVP,LH238,LH192 X LH194,USA,4.0,False,43.6,low depth - impute or top-up
PI 607512,1,1,0.7,0.7,SAMN17776901,ILLUMINA,PRJNA684330,cultivar,N7A,30.0,33.0,Breeding material,Maize.Group.Ames.Panel.2010,N7A,Selected from (Oh7 x 'Stiff Stalk Synthetic' gamete).,USA,3.0,False,43.5,re-sequence
PI 702822,1,1,1.7,1.7,SAMN17776979,ILLUMINA,PRJNA684330,cultivar,AusTRCF305817,28.0,38.0,Breeding material,Maize.Group.Ames.Panel.2010,AusTRCF 305817,{M11451x early Inbred syn v}-10-1-1-3-1,AUS,3.0,False,43.4,low depth - impute or top-up
PI 595527,1,1,6.0,6.0,SAMN17777004,ILLUMINA,PRJNA684330,cultivar,CML3,20.0,35.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 3,"Population 21: P 21C5 FS84-2-1-B-3-B .  Population 21 is also named Tuxpeno-1 and its components are Tuxpeno race collections Veracruz 48, Veracruz 143, Veracruz 174, Michoacan 137, Michoacan 166, V-520C, Colima Group 1-Mix.1, and 16 families from the tropical late white dent pool (Pool 24).",MEX,3.0,True,43.3,call variants (moderate depth)
PI 595549,1,1,5.9,5.9,SAMN44075614,ILLUMINA,PRJNA1170466,cultivar,CML274,20.0,73.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 274,Population 43: (Ac.7643*Pop.43 FS7)-2-3-4-3-BB-f .  Population 43 is also named La Posta and its components is a Tuxpeno synthetic composed of 16 inbred lines.,MEX,3.0,True,43.2,call variants (moderate depth)
PI 595556,2,2,6.4,9.0,SAMN44075596,ILLUMINA,PRJNA1170466;PRJNA684330,cultivar,CML29,19.0,21.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 29,"Population 27: P 27 C5FS71-3-1-B-f-B .  Population 27 is also named Amarillo Cristalino-1 and its components are Tuxpeno, Cuba flints, ETO amarillo, and 15 families from the tropical late yellow flint pool (Pool 25).",MEX,3.0,False,43.1,call variants (moderate depth)
PI 698974,1,1,1.5,1.5,SAMN12771025,ILLUMINA,PRJNA565870,cultivar,H59,28.0,30.0,Breeding material,Maize.Group.Ames.Panel.2010,H59,(Mo940 x Mo21A)Mo940,USA,3.0,False,43.1,low depth - impute or top-up
PI 597337,1,1,3.5,3.5,SAMN44603702,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH32C,17.0,32.0,Cultivar,Maize.Group.PVP,PH32C,PHR03 X PHK56 specifically PHR03/PHK56)VWX4224522X.,USA,4.0,False,43.1,low depth - impute or top-up
PI 693878,1,1,0.9,0.9,SAMN17776893,ILLUMINA,PRJNA684330,cultivar,R851,29.0,73.0,Breeding material,Maize.Group.Ames.Panel.2010,R851,Recovered sh2 P51,USA,3.0,False,43.0,re-sequence
PI 597324,1,1,3.3,3.3,SAMN44603678,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH05G,17.0,17.0,Cultivar,Maize.Group.PVP,PH05G,PHBW8 X PHTM9 specifically PHBW8/PHTM9)XA05K21K2X.,USA,4.0,False,42.8,low depth - impute or top-up
PI 607525,1,1,0.2,0.2,SAMN14649754,ILLUMINA,PRJNA627044,sample_title,A665,30.0,46.0,Breeding material,Maize.Group.Ames.Panel.2010,A665,Developed from (ND203 x A635) X A635(3).,USA,3.0,False,42.8,re-sequence
PI 146372,4,4,4.7,15.200000000000001,SAMN14255831,ILLUMINA,PRJNA565870;PRJNA609577,cultivar,CI_187_2,29.0,84.0,Breeding material,Maize.Iowa.Stiff.Stalk.Inbreds,C.I. 187-2,Krug - Nebraska Reid strain x Iowa Gold Mine,USA,2.0,False,42.7,low depth - impute or top-up
PI 587125,1,1,0.7,0.7,SAMN12770498,ILLUMINA,PRJNA565870,cultivar,CO109,14.0,18.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CO109,,CAN,5.0,True,42.5,re-sequence
PI 597332,1,1,3.0,3.0,SAMN44603653,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH09E,17.0,17.0,Cultivar,Maize.Group.PVP,PH09E,PHK29 X PHP38 specifically PHK29/PHP38)VNWRXA2334X.,USA,4.0,False,42.4,low depth - impute or top-up
PI 601459,1,1,1.3,1.3,SAMN12770695,ILLUMINA,PRJNA565870,cultivar,IBC2,20.0,23.0,Cultivar,Maize.Group.PVP,IBC2,J6 X ( J6 X Mo17Ht) specifically J6''Mo17Ht-7221.   Mo17Ht is a public inbred line.  The inbred J6 was derived by selfing Pioneer 3901 hybrid.  Inbred J2 was the recurrent parent.,USA,4.0,False,42.3,low depth - impute or top-up
PI 597340,1,1,2.9,2.9,SAMN44603651,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH55C,17.0,17.0,Cultivar,Maize.Group.PVP,PH55C,PHW80 X PHG47 specifically PHW80/PHG47)X212K4X.,USA,4.0,False,42.2,low depth - impute or top-up
PI 595560,1,1,5.8,5.8,SAMN44075639,ILLUMINA,PRJNA1170466,cultivar,CML40,19.0,48.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 40,"Population 36: P 36 C5FS144-2-2-B-### .  Population 36 is also named Cogollero and it is a Caribbean composite involving 165 accessions from all the Caribbean islands. About 50 families from the Insect Disease Resistance Nursery (IDRN) population, 20 families from Pool 22, and 26 families from Pool 26.",MEX,3.0,False,42.2,call variants (moderate depth)
PI 595547,1,1,5.8,5.8,SAMN17776982,ILLUMINA,PRJNA684330,cultivar,CML271,19.0,21.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 271,"Population 29: P 291STC1 FS25-6-4-1-#-BBB-f .  Population 29 is also named Tuxpeno Caribe and its components are Tuxpeno, Cuban flints, and ETO.",MEX,3.0,True,42.2,call variants (moderate depth)
PI 597338,1,1,2.8,2.8,SAMN44603659,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH38D,17.0,17.0,Cultivar,Maize.Group.PVP,PH38D,PHVH2 X PHT11 specifically PHVH2/PHT11)XA1214K631X.  PHVH2 was derived by pedigree selection from a single cross hybrid. 50% of the pedigree contribution to this hybrid was B73. The majority of the remaining contribution was derived from a variety selected from a single cross hybrid B14 X C103.,USA,4.0,False,42.1,low depth - impute or top-up
PI 605398,1,1,2.8,2.8,SAMN44603262,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH12C,17.0,17.0,Cultivar,Maize.Group.PVP,PH12C,PHP02 X PHR03 specifically PHP02/PHR03)X123622X.,USA,4.0,False,42.1,low depth - impute or top-up
Ames 19310,1,1,0.2,0.2,SAMN14649728,ILLUMINA,PRJNA627044,sample_title,A639,29.0,31.0,Breeding material,Maize.Group.Ames.Panel.2010,A639,A158 X B14,USA,3.0,False,42.0,re-sequence
Ames 23482,1,1,0.2,0.2,SAMN14649738,ILLUMINA,PRJNA627044,sample_title,A649,29.0,45.0,Breeding material,Maize.Group.Ames.Panel.2010,A649,[(V3 X A321) A321],USA,3.0,False,42.0,re-sequence
PI 685931,1,1,2.4,2.4,SAMN31504506,ILLUMINA,PRJNA894503,cultivar,GEMN_0238,25.0,54.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMN-0238,NEI9004:N0803-B-027-B-B,USA,3.0,False,42.0,low depth - impute or top-up
PI 369442,1,1,5.6,5.6,SAMN41221345,ILLUMINA,PRJNA1108025,sample_title,S48,19.0,22.0,Breeding material,Maize.Group.Ames.Panel.2010,S 48,Open pollinated variety 'Wigor',POL,3.0,False,41.9,call variants (moderate depth)
NSL 42877,1,1,0.1,0.1,SAMN14649254,ILLUMINA,PRJNA627044,sample_title,A165,29.0,35.0,Breeding material,Maize.Group.Ames.Panel.2010,A165,A2 X 47,USA,3.0,False,41.8,re-sequence
PI 587147,1,1,0.8,0.8,SAMN12770428,ILLUMINA,PRJNA565870,cultivar,PA91,13.0,19.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Pa91,(Wf9 X Oh40B)S4 X [(38-11 X L317)38-11]S4,USA,5.0,True,41.8,re-sequence
PI 601561,1,1,1.0,1.0,SAMN12770823,ILLUMINA,PRJNA565870,cultivar,6M502,20.0,23.0,Cultivar,Maize.Group.PVP,6M502,4913 X MAWU,USA,4.0,False,41.8,low depth - impute or top-up
PI 595557,1,1,6.1,6.1,SAMN44075636,ILLUMINA,PRJNA1170466,cultivar,CML31,18.0,29.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 31,"Population 27: P 27 C5FS117-1-4-B-#### .  Population 27 is also named Amarillo Cristalino-1 and its components are Tuxpeno, Cuba flints, ETO amarillo, and 15 families from the tropical late yellow flint pool (Pool 25).",MEX,3.0,True,41.8,call variants (moderate depth)
PI 535905,1,1,5.7,5.7,SAMN41221342,ILLUMINA,PRJNA1108025,sample_title,S45,26.0,28.0,Cultivar,Maize.Group.Ames.Panel.Post.2010,S 45,,POL,2.0,False,41.8,call variants (moderate depth)
PI 692199,1,1,5.2,5.2,SAMN12770998,ILLUMINA,PRJNA565870,cultivar,ILL12E,27.0,28.0,Breeding material,Maize.Iowa.Stiff.Stalk.Inbreds,Ill. 12E,,USA,2.0,False,41.8,call variants (moderate depth)
Ames 23475,1,1,0.1,0.1,SAMN14649726,ILLUMINA,PRJNA627044,sample_title,A637,29.0,45.0,Breeding material,Maize.Group.Ames.Panel.2010,A637,CO106 X A321,USA,3.0,False,41.8,re-sequence
PI 406106,1,1,3.3,3.3,SAMN17776978,ILLUMINA,PRJNA684330,cultivar,A14NW,23.0,26.0,Breeding material,Maize.Group.Ames.Panel.2010,A14NW,Oh45r^3.HtN,ZAF,3.0,False,41.7,low depth - impute or top-up
PI 685930,1,1,2.2,2.2,SAMN31504505,ILLUMINA,PRJNA894503,cultivar,GEMS_0237,25.0,54.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMS-0237,DKXL370:S08c17c-B-008-B-B,USA,3.0,False,41.7,low depth - impute or top-up
PI 605732,1,1,2.5,2.5,SAMN44603264,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH0CD,17.0,17.0,Cultivar,Maize.Group.PVP,PH0CD,PHP02 X PHR31 specifically PHP02/PHR31)XA03W23W11X.,USA,4.0,False,41.6,low depth - impute or top-up
PI 606337,1,1,2.4,2.4,SAMN44603670,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH19V,17.0,17.0,Cultivar,Maize.Group.PVP,PH19V,PHRE1 X PHP38 specifically PHRE1/PHP38)XQ34K14K1X.,USA,4.0,False,41.5,low depth - impute or top-up
PI 542944,1,1,1.0,1.0,SAMN12770349,ILLUMINA,PRJNA565870,cultivar,SC30-1,27.0,42.0,Breeding material,Maize.Group.Ames.Panel.2010,SC301,,USA,3.0,False,41.5,low depth - impute or top-up
