accession,n_ena_samples,n_runs,best_x_cov,total_x_cov,best_sample,platforms,studies,matched_on_field,matched_name,n_traits,total_envs,IMPROVEMENT_LEVEL,collection,PLANT_NAME,pedigree,countryOfOriginCode,panel_pri,in_eva_study,priority_score,action
PI 601332,1,1,2.7,2.7,SAMN12770773,ILLUMINA,PRJNA565870,cultivar,SX-6-7,32.0,83.0,Cultivar,Maize.Group.PVP,SX-6-7,Synthetic C-D.  Synthetic C-D started as a mixture of tetraploid synthetics C and D in the C0 cycle.,USA,4.0,False,54.2,low depth - impute or top-up
PI 369439,1,1,5.4,5.4,SAMN41221311,ILLUMINA,PRJNA1108025,sample_title,S14,34.0,45.0,Breeding material,Maize.Group.Ames.Panel.2010,S 14,Open pollinated variety 'Wielkopolanka',POL,3.0,False,53.9,call variants (moderate depth)
PI 693329,1,1,0.1,0.1,SAMN14649724,ILLUMINA,PRJNA627044,sample_title,A635,29.0,31.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,A635,[(ND203 X B14) B14(2)],USA,5.0,False,53.8,re-sequence
PI 690615,1,1,6.6,6.6,SAMN44075683,ILLUMINA,PRJNA1170466,cultivar,CML332,17.0,46.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 332,Recy. W: 89[SUWAN8422]/[P47s3/Mp78:518]#-183-1-7-3-1-2-B-#-B-B,MEX,5.0,False,53.8,call variants (moderate depth)
PI 369443,1,1,5.3,5.3,SAMN41221358,ILLUMINA,PRJNA1108025,sample_title,S61,34.0,68.0,Breeding material,Maize.Group.Ames.Panel.2010,S 61,Open pollinated variety 'Wigor',POL,3.0,False,53.7,call variants (moderate depth)
PI 535916,5,29,111.6,161.29999999999998,SAMN20821249,ILLUMINA;OXFORD_NANOPORE;PACBIO_SMRT,PRJNA1108025;PRJNA1170466;PRJNA565870;PRJNA644582;PRJNA755430,cultivar,S37,7.0,9.0,Cultivar,Maize.Group.Ames.Panel.2010,S 37,,POL,3.0,True,53.7,call variants now
PI 600755,1,1,0.6,0.6,SAMN12770815,ILLUMINA,PRJNA565870,cultivar,LP1_CMS_HT,35.0,78.0,Cultivar,Maize.Group.PVP,LP1 CMS HT,"Sterile plants of a population derived from (A632Ht) X (A635 CMS Ht) used as a female was backcrossed to a specific A632Ht selection (LP1 NR Ht) used as the male.  The (A635 CMS HT) male sterile component was constructed using the 689ms(WF9C X B14A) an accession in the Jack Becket collection of public male steriles as the female and Inbred 181, a private version of A635 converted to Helminthosporium tucicum resistance.",USA,4.0,False,53.5,re-sequence
PI 198895,1,1,7.8,7.8,SAMN17776930,ILLUMINA,PRJNA684330,cultivar,4F_285TX15,29.0,29.0,Breeding material,Maize.Group.Ames.Panel.2010,4F-285 TX 15,,ARG,3.0,False,53.4,call variants (moderate depth)
PI 590560,1,1,5.4,5.4,SAMN44603692,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PHTV7,26.0,38.0,Cultivar,Maize.Group.PVP,PHTV7,PHW52 X PHV37 specifically PHW52/PHV37)X4223362422X,USA,4.0,False,53.3,call variants (moderate depth)
PI 594048,1,1,1.4,1.4,SAMN12770993,ILLUMINA,PRJNA565870,cultivar,B105,26.0,30.0,Cultivar,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B105,BSSS(R)C9-5-1-1-1-1-1-2-1-1-1,USA,5.0,True,53.3,low depth - impute or top-up
PI 559948,1,1,3.2,3.2,SAMN44603687,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PHT47,30.0,68.0,Cultivar,Maize.Group.PVP,PHT47,"B47 X G39 specifically B47/G39)XB021261XX.  Both B47 and G39 are proprietary lines of Pioneer Hi-Bred International, Inc.",USA,4.0,False,53.3,low depth - impute or top-up
PI 601442,1,1,2.0,2.0,SAMN12770821,ILLUMINA,PRJNA565870,cultivar,PHG86,32.0,35.0,Cultivar,Maize.Group.PVP,PHG86,B64 X B73 specifically B64/B73)X31123X.  Both B64 and B73 are public inbred lines developed at Iowa State University.,USA,4.0,True,53.1,low depth - impute or top-up
PI 600954,1,1,0.9,0.9,SAMN12770765,ILLUMINA,PRJNA565870,cultivar,LH119,34.0,74.0,Cultivar,Maize.Group.PVP,LH119,(H93 X B73) X B73 .  H93 is a public line released by Purdue University.  B73 is a public line released by Iowa State University.,USA,4.0,False,53.1,re-sequence
PI 601439,3,3,3.1,6.1000000000000005,SAMN44603266,COMPLETE_GENOMICS;ILLUMINA,PRJNA1142968;PRJNA565870;PRJNA684330,cultivar,FBHJ,30.0,56.0,Cultivar,Maize.Group.PVP,FBHJ,(FBAB X B84) X B84 .  FBAB was derived from B14 X LH23.  B84 was derived from (BS13(S2)).,USA,4.0,False,53.1,low depth - impute or top-up
PI 595338,1,1,5.2,5.2,SAMN44603708,COMPLETE_GENOMICS,PRJNA1142968,cultivar,01DIB2,26.0,26.0,Cultivar,Maize.Group.PVP,01DIB2,2FACC**BMF1* .  BMF1 is descended from the public line Mo17.,USA,4.0,False,53.0,call variants (moderate depth)
PI 601787,2,2,2.4,4.4,SAMN12770805,ILLUMINA,PRJNA565870;PRJNA684330,cultivar,PHR63,31.0,34.0,Cultivar,Maize.Group.PVP,PHR63,"PHG29 X B89 specifically PHG29/B89)XA2122X.  PHG29 and B89 are proprietary inbred lines of Pioneer Hi-Bred International, Inc.",USA,4.0,False,52.9,low depth - impute or top-up
PI 601378,1,1,2.8,2.8,SAMN12770822,ILLUMINA,PRJNA565870,cultivar,LP5,30.0,57.0,Cultivar,Maize.Group.PVP,LP5,(Glamos X B73Ht) X B73Ht .  Glamos is a Yugoslavian open-pollinated variety.,FRA,4.0,True,52.7,low depth - impute or top-up
PI 601191,1,1,0.6,0.6,SAMN12770682,ILLUMINA,PRJNA565870,cultivar,DJ7,34.0,48.0,Cultivar,Maize.Group.PVP,DJ7,(B73 X BS16) backcrossed to B73 three times.  BS16 is an Iowa State University population called Iowa Early ETO Synthetic.,USA,4.0,False,52.7,re-sequence
PI 601317,1,1,1.5,1.5,SAMN12770665,ILLUMINA,PRJNA565870,cultivar,LH57,32.0,69.0,Cultivar,Maize.Group.PVP,LH57,"(Mo17 X H99) X LH53 . LH53 is a proprietary line of Holdens and the pedigree is ""Mo17 HI"".",USA,4.0,False,52.4,low depth - impute or top-up
PI 601208,1,1,0.4,0.4,SAMN12770771,ILLUMINA,PRJNA565870,cultivar,IB014,34.0,75.0,Cultivar,Maize.Group.PVP,IB014,Pioneer 3901 hybrid X H99,USA,4.0,False,52.4,re-sequence
PI 601790,1,1,2.0,2.0,SAMN12770714,ILLUMINA,PRJNA565870,cultivar,PHW03,31.0,34.0,Cultivar,Maize.Group.PVP,PHW03,801 X G48 specifically 801/G48)41221X,USA,4.0,False,52.3,low depth - impute or top-up
PI 601782,1,1,2.0,2.0,SAMN12770933,ILLUMINA,PRJNA565870,cultivar,PHN73,31.0,35.0,Cultivar,Maize.Group.PVP,PHN73,041 X G35 specifically 041/G35)XB0111X,USA,4.0,False,52.3,low depth - impute or top-up
PI 597314,1,1,4.7,4.7,SAMN44603656,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH0B4,26.0,26.0,Cultivar,Maize.Group.PVP,PH0B4,PHP38 X PHDH8 specifically PHP38/PHDH8)XA21522.  PHDH8 was derived by pedigree selection from the single cross hybrid G39 (PVP Certificate Number 8300115) X PHN65. PHN65 is a proprietary-inbred of Pioneer Hi-Bred Int. Inc.  PHN65 was derived by pedigree selection from a single cross hybrid.  Much of the pedigree percent contribution to PHN65 was from B73.,USA,4.0,False,52.3,low depth - impute or top-up
PI 591839,1,1,4.5,4.5,SAMN44603693,COMPLETE_GENOMICS,PRJNA1142968,cultivar,LH226Ht,26.0,26.0,Cultivar,Maize.Group.PVP,LH226Ht,"LH74 x CM105 .  LH74 is a proprietary line of Holdens Foundation Seeds, Inc.  CM105 has the pedigree V3 X B14(3) and is a public line developed by the Canadian Agricultural Research Station at Morden, Manitoba, Canada released in 1970.",USA,4.0,False,52.0,low depth - impute or top-up
PI 601789,1,1,1.7,1.7,SAMN12770807,ILLUMINA,PRJNA565870,cultivar,PHV37,31.0,35.0,Cultivar,Maize.Group.PVP,PHV37,G27 X G21 specifically G27/G21)XA6121X,USA,4.0,False,51.9,low depth - impute or top-up
PI 596786,1,1,3.7,3.7,SAMN44603662,COMPLETE_GENOMICS,PRJNA1142968,sample_title,90DJD28,27.0,27.0,Cultivar,Maize.Group.PVP,90DJD28,A line derived from Pioneer hybrid 3180 was crossed to FBLL.,USA,4.0,False,51.6,low depth - impute or top-up
PI 601774,1,1,1.5,1.5,SAMN12770549,ILLUMINA,PRJNA565870,cultivar,PHJ33,31.0,34.0,Cultivar,Maize.Group.PVP,PHJ33,"PHG83 X CE18 specifically PHG83/CE18)X22K5K3.  PHG83 and CE18 are proprietary inbreds of Pioneer Hi-Bred International, Inc.",USA,4.0,False,51.6,low depth - impute or top-up
PI 690590,1,1,5.1,5.1,SAMN44075668,ILLUMINA,PRJNA1170466,cultivar,CML158,17.0,46.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 158,Population 62: [EV8762-SR]-2-1-B-1-B-#-BBBB-B,MEX,5.0,False,51.5,call variants (moderate depth)
PI 601323,1,1,1.3,1.3,SAMN12770820,ILLUMINA,PRJNA565870,cultivar,SX-4-21,31.0,191.0,Cultivar,Maize.Group.PVP,SX-4-21,Synthetic B.  Synthetic B can be summarized as a random mated population mass selected for tetraploidy each cycle.  The C0 was constructed from: (Diploid females = ((25 lines x el/el donor) X (25 lines)S1)) X (Autotetraploid males = a mixture of Syn A + Randolph's Argentine flint + Syn A S1 progenies).,USA,4.0,False,51.3,low depth - impute or top-up
PI 601777,1,1,1.3,1.3,SAMN12770978,ILLUMINA,PRJNA565870,cultivar,PHK35,31.0,34.0,Cultivar,Maize.Group.PVP,PHK35,AC34 X G93H specifically AC34/G93H)X211111,USA,4.0,False,51.3,low depth - impute or top-up
Ames 28361,1,1,7.5,7.5,SAMN17776953,ILLUMINA,PRJNA684330,cultivar,Mo402,27.0,31.0,Breeding material,Maize.Group.Ames.Panel.2010,Mo402,,USA,3.0,False,51.3,call variants (moderate depth)
PI 601440,1,1,1.8,1.8,SAMN12770713,ILLUMINA,PRJNA565870,cultivar,MBPM,30.0,34.0,Cultivar,Maize.Group.PVP,MBPM,"Composite 400M-118.  Composite 400M is a broad based composite of agronomicaly adapted germplasm with a good level of stalk quality, grain quality, disease and insect resistance, and overall fitness. It consisted of 360 ear-to-row families.  Each year the composite was grown in isolation and advanced by  cyclic mass selection for intrapopulation improvement.  Developement of MBPM began in family 118 of Composite 400M.",USA,4.0,False,51.2,low depth - impute or top-up
PI 596776,1,1,4.5,4.5,SAMN44603710,COMPLETE_GENOMICS,PRJNA1142968,cultivar,01CSI6,25.0,25.0,Cultivar,Maize.Group.PVP,01CSI6,The inbred line 7855IS wwas crossed to a line derived from Pioneer hybrid 3779.,USA,4.0,False,51.2,low depth - impute or top-up
PI 601361,1,1,0.7,0.7,SAMN12770775,ILLUMINA,PRJNA565870,cultivar,PHR36,32.0,60.0,Cultivar,Maize.Group.PVP,PHR36,((((203 X 549) X 549) X 848) X 848) X 848 specifically in Pioneer's certificate  848<3 549<2 203)3X15111X .  The white Pioneer proprietary inbred 203 was crossed to the yellow Pioneer proprietary inbred 549 and then backcrossed to 549 with selection for white kernels.  This population was then crossed to Pioneer proprietary yellow inbred 848 and backcrossed twice to proprietary inbred 848 with selection for white kernels during backcrossing.  Seven generations of selfing with selection for white kernels followed.,USA,4.0,True,51.2,re-sequence
PI 601416,1,1,1.2,1.2,SAMN12770720,ILLUMINA,PRJNA565870,cultivar,LH61,31.0,35.0,Cultivar,Maize.Group.PVP,LH61,Mo17 X ((Mo17 X ASA) X Mo17),USA,4.0,False,51.1,low depth - impute or top-up
PI 601571,1,1,1.1,1.1,SAMN12770653,ILLUMINA,PRJNA565870,cultivar,PHR32,31.0,61.0,Cultivar,Maize.Group.PVP,PHR32,PHB82 X PHG61 specifically PHB82/PHG61)X1121X,USA,4.0,False,51.0,low depth - impute or top-up
PI 596555,1,1,3.7,3.7,SAMN44603691,COMPLETE_GENOMICS,PRJNA1142968,cultivar,LH228,26.0,26.0,Cultivar,Maize.Group.PVP,LH228,LH202 X LH206,USA,4.0,False,50.8,low depth - impute or top-up
PI 595618,1,1,3.2,3.2,SAMN44603326,COMPLETE_GENOMICS,PRJNA1142968,cultivar,ZS01459,27.0,27.0,Cultivar,Maize.Group.PVP,ZS01459,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,4.0,False,50.8,low depth - impute or top-up
PI 601457,1,1,0.9,0.9,SAMN12770777,ILLUMINA,PRJNA565870,cultivar,IB02,31.0,99.0,Cultivar,Maize.Group.PVP,IB02,(IBI X 7309B) X IBI .  The inbred IBI was developed by selfing Pioneer 3901 hybrid.  Inbred 7309B is a proprietary Oh43.,USA,4.0,False,50.7,re-sequence
PI 708174,1,2,30.4,30.4,SAMEA114622078,PACBIO_SMRT,PRJEB64865,cultivar,Tabloncillo,18.0,31.0,Landrace,,TABLONCILLO,,MEX,1.0,False,50.7,call variants now
PI 601773,1,1,1.5,1.5,SAMN12770727,ILLUMINA,PRJNA565870,cultivar,PHJ31,30.0,70.0,Cultivar,Maize.Group.PVP,PHJ31,"B97 X 595 specifically B97/595)X722XXX.  B97 and 595 are proprietary inbreds of Pioneer Hi-Bred International, Inc.  Variety 595 was derived from pedigree selection from PHAN0 X 082. Variety PHAN0 was derived from Female Composite Open Pollinated. The open pollinated means that after the bridging crosses were made it was open pollinated. Variety 082 was derived from OH07 and an inbred derived from Midland Yellow Dent from Kansas.  Variety 595 has a relative genotypic contribution from 50% Female Composite, 25% Midland Yellow Dent, 12.5% Illinois Long Ear, and 12.5% Illinois Two Ear.",USA,4.0,False,50.7,low depth - impute or top-up
PI 601230,1,1,1.4,1.4,SAMN12770977,ILLUMINA,PRJNA565870,cultivar,LH150,30.0,42.0,Cultivar,Maize.Group.PVP,LH150,Pioneer 3147 hybrid.,USA,4.0,False,50.6,low depth - impute or top-up
PI 590559,1,1,3.6,3.6,SAMN44603677,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PHTP9,26.0,26.0,Cultivar,Maize.Group.PVP,PHTP9,PHK29 X PHJ40 specifically PHK29/PHJ40)X451212-1XX,USA,4.0,False,50.6,low depth - impute or top-up
PI 535917,1,1,6.4,6.4,SAMN41221348,ILLUMINA,PRJNA1108025,sample_title,S51,28.0,34.0,Cultivar,Maize.Group.Ames.Panel.2010,S 51,Open pollinated variety 'Wigor',POL,3.0,False,50.5,call variants (moderate depth)
PI 601612,1,1,0.8,0.8,SAMN12770840,ILLUMINA,PRJNA565870,cultivar,S8326,31.0,57.0,Cultivar,Maize.Group.PVP,S8326,"(Wl17 X Mo17)S2 X Mo17 .  W117 is a public line developed and released by the University of Wisconsin, originating from open pollinated Minnesota 13 x 643. Mo17 is a public line developed and released by the University of Missouri, originating from the cross 187-2 x CI03.",USA,4.0,False,50.5,re-sequence
PI 562381,1,1,1.9,1.9,SAMN44603675,COMPLETE_GENOMICS,PRJNA1142968,cultivar,LH224,29.0,54.0,Cultivar,Maize.Group.PVP,LH224,"CB59G X (LH74 X CB59G) .  LH74 is a proprietary line of Holden's Foundation Seeds, Inc.  CB59G has the pedigree (((B14A X R168) X B59) X B59) and is a proprietary line of Cornelius Hybrid Seed Co. of Bellevue, Iowa.",USA,4.0,False,50.5,low depth - impute or top-up
PI 601685,1,1,0.8,0.8,SAMN12770792,ILLUMINA,PRJNA565870,cultivar,WIL901,31.0,34.0,Cultivar,Maize.Group.PVP,WIL901,82C232-919-1-1-1-1 .  Wilson proprietary exotic population 83C232 was formed by intermating the public line Mo17 and selections from the race Tuxpeno.,USA,4.0,False,50.5,re-sequence
PI 535914,2,2,5.6,6.8,SAMN41221319,ILLUMINA,PRJNA1108025;PRJNA565870,cultivar,S22,29.0,33.0,Breeding material,Maize.Group.Ames.Panel.2010,S 22,,POL,3.0,True,50.1,call variants (moderate depth)
PI 601780,1,1,0.5,0.5,SAMN12770693,ILLUMINA,PRJNA565870,cultivar,PHN29,31.0,34.0,Cultivar,Maize.Group.PVP,PHN29,G69 X G40 specifically G69/G40)XA6211,USA,4.0,False,50.1,re-sequence
PI 565106,1,1,1.1,1.1,SAMN44603668,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PHJR5,30.0,55.0,Cultivar,Maize.Group.PVP,PHJR5,PHR73 X PHT10 specifically PHR73/PHT10)X74K122K46,USA,4.0,False,50.1,low depth - impute or top-up
PI 535927,1,1,5.6,5.6,SAMN41221422,ILLUMINA,PRJNA1108025,sample_title,S125,29.0,34.0,Cultivar,Maize.Group.Ames.Panel.2010,S 125,,POL,3.0,False,50.1,call variants (moderate depth)
PI 590562,1,1,3.2,3.2,SAMN44603686,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PHVJ5,26.0,26.0,Cultivar,Maize.Group.PVP,PHVJ5,PHV56 X PHJ40 specifically PHV56/PHJ40)XQ51K11K41K1X,USA,4.0,False,50.0,low depth - impute or top-up
