accession,n_traits,total_envs,in_snptools,collection,pedigree,countryOfOriginCode,IMPROVEMENT_LEVEL,PLANT_NAME
Ames 20120,17,20,False,Maize.Group.Ames.Panel.2010,Mo17 x C103 3rd Cycle,USA,Breeding material,Mo42
Ames 20190,30,60,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,KE 3,CAN,Breeding material,CM37
Ames 20191,27,92,False,Maize.Group.Ames.Panel.2010,Pioneer 6124,CAN,Breeding material,CO159
Ames 21095,27,42,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,R12
Ames 21096,27,30,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,R35
Ames 21785,25,25,False,,,MEX,Wild material,I.A. 1
Ames 21787,25,25,False,,,MEX,Wild material,I.A. 4
Ames 21789,25,25,False,,,MEX,Wild material,I.A. 8
Ames 21790,25,25,False,,,MEX,Wild material,I.A. 9
Ames 21793,25,25,False,,,MEX,Wild material,I.A. 12
Ames 21796,25,25,False,,,MEX,Wild material,I.A. 15
Ames 21797,25,25,False,,,MEX,Wild material,I.A. 16
Ames 21798,25,25,False,,,MEX,Wild material,I.A. 18
Ames 21799,25,25,False,,,MEX,Wild material,I.A. 19
Ames 21800,25,25,False,,,MEX,Wild material,I.A. 20
Ames 21801,25,25,False,,,MEX,Wild material,I.A. 21
Ames 21802,25,25,False,,,MEX,Wild material,I.A. 22
Ames 21803,25,25,False,,,MEX,Wild material,I.A. 23
Ames 21808,25,25,False,,,MEX,Wild material,I.A. 28
Ames 21809,25,25,False,,,MEX,Wild material,I.A. 29
Ames 21810,25,25,False,,,MEX,Wild material,I.A. 31
Ames 21812,25,25,False,,,MEX,Wild material,I.A. 33
Ames 21814,25,25,False,,,MEX,Wild material,I.A. 36
Ames 21826,25,25,False,,,MEX,Wild material,2422
Ames 21828,25,25,False,,,MEX,Wild material,2451
Ames 21829,25,25,False,,,MEX,Wild material,2451
Ames 21830,25,25,False,,,MEX,Wild material,2560
Ames 21852,25,25,False,,Believed to be a temperate selection from Zea mays subsp. mexicana Race Nobogame and Gaspe Flint Maize selected to resemble the teosinte parent (MJM).,033,Wild material,IV.B. 7
Ames 21855,25,25,False,,Believed to be a temperate selection from Zea mays subsp. mexicana Race Nobogame and Gaspe Flint Maize selected to resemble the teosinte parent (MJM).,033,Wild material,IV.B. 12
Ames 21857,25,25,False,,Believed to be a temperate selection from Zea mays subsp. mexicana Race Nobogame and Gaspe Flint Maize selected to resemble the teosinte parent (MJM).,033,Wild material,IV.B. 16
Ames 21860,25,26,False,,Believed to be a temperate selection from Zea mays subsp. mexicana Race Nobogame and Gaspe Flint Maize selected to resemble the teosinte parent.,USA,Wild material,2607
Ames 21861,24,24,False,,,MEX,Wild material,V.B. 4
Ames 21869,23,23,False,,,MEX,Wild material,VIII.B. 1
Ames 21889,25,25,False,,,MEX,Wild material,BENZ 967
Ames 21894,25,25,False,,,MEX,Wild material,Unknown #1
Ames 21956,26,54,False,,,USA,Landrace,Black Beauty Popcorn
Ames 21959,25,41,False,,,USA,Landrace,Ohio Yellow Popcorn
Ames 21960,34,64,False,,,USA,Landrace,Red Popcorn
Ames 21961,16,29,False,,,USA,Landrace,Strawberry Popcorn
Ames 21962,20,34,False,,,USA,Landrace,Supergold Popcorn
Ames 21963,25,39,False,,,USA,Landrace,South American Popcorn
Ames 21969,16,59,False,,,USA,Landrace,Knobless Tama Flint
Ames 21971,16,29,False,,,USA,Landrace,Knobless Wilbur's Flint
Ames 21972,26,68,False,,,USA,Landrace,Maiz Chapalote
Ames 21973,15,28,False,,,USA,Landrace,Papago Flour Corn
Ames 21974,15,28,False,,,USA,Landrace,Parker's Flint
Ames 21976,26,54,False,,,USA,Landrace,Winnebago Flint
Ames 21977,17,17,False,,,USA,Landrace,Missouri Cob Corn
Ames 22012,19,36,False,Maize.Group.Ames.Panel.2010,Whipple Yellow (Harris),USA,Cultivar,C7
Ames 22026,30,34,False,Maize.Group.Ames.Panel.2010,Narrow Grain Evergreen.,USA,Cultivar,Ia Ev191
Ames 22069,30,33,False,,,USA,Landrace,Hayes White
Ames 22097,15,15,False,,,USA,Cultivar,B73 x B95
Ames 22442,17,19,False,Maize.Group.Ames.Panel.2010,(Oh40B x 38-11)MS1334,USA,Cultivar,Ms100
Ames 22707,16,30,False,,,USA,Landrace,Pennsylvania Colored Corn (Barnes Strain)
Ames 22758,26,43,False,Maize.Group.Ames.Panel.2010,[(T61 X Snelling Stiff Stalk) T61 (6)],USA,Cultivar,T61w.c.
Ames 22759,18,33,False,Maize.Group.Ames.Panel.2010,Tx61M X Tx325,USA,Cultivar,Tx29A
Ames 22760,19,38,False,Maize.Group.Ames.Panel.2010,Tx441 X 166,USA,Cultivar,Tx71
Ames 22761,20,37,False,Maize.Group.Ames.Panel.2010,Tx441 X166,USA,Cultivar,Tx81
Ames 22762,19,52,False,Maize.Group.Ames.Panel.2010,,USA,Cultivar,Tx118
Ames 22765,20,37,False,Maize.Group.Ames.Panel.2010,,USA,Cultivar,Tx738
Ames 22766,18,48,False,Maize.Group.Ames.Panel.2010,,USA,Cultivar,Tx817w
Ames 22768,17,19,False,,,USA,Breeding material,ZC 2451
Ames 22792,29,46,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,ABPl 2
Ames 22793,18,20,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,ABPl 4
Ames 22794,18,21,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,ABPl 5
Ames 23011,16,16,False,,,USA,Cultivar,INIA 160
Ames 23014,16,16,False,,,USA,Cultivar,HB 83
Ames 23015,15,15,False,,,USA,Cultivar,PM 102
Ames 23017,15,15,False,,,USA,Cultivar,PM 701
Ames 2325,28,75,False,Maize.Group.Ames.Panel.2010,,CHN,Breeding material,Luo 3
Ames 2326,30,31,False,Maize.Group.Ames.Panel.2010,,CHN,Breeding material,Taun 23
Ames 2334,28,29,False,Maize.Group.Ames.Panel.2010,,CHN,Breeding material,Yong 28 (br2)
Ames 2338,29,42,False,Maize.Group.Ames.Panel.2010,,CHN,Breeding material,(Twan x Tzuh)-S6
Ames 23391,27,30,False,Maize.Group.Ames.Panel.2010,Rustler (same as C15),USA,Breeding material,A34
Ames 23392,18,20,False,Maize.Group.Ames.Panel.2010,64 X 15-28 (64 is the same as C64; renamed A48. 15-28 same as C15-28; renamed A39),USA,Breeding material,A90
Ames 23403,18,21,False,Maize.Group.Ames.Panel.2010,"[(C14 X A374) C14(2)] Alternate in Schaefer & Bernardo [(A1 x A374) x A1(2)].  Gerdes, Behr, Coors & Tracey indicate C14 = A1.",USA,Breeding material,A218
Ames 23413,18,21,False,Maize.Group.Ames.Panel.2010,A334 X Oh07,USA,Breeding material,A286
Ames 23418,18,21,False,Maize.Group.Ames.Panel.2010,"C15 X 8-29. Alternate in Schaefer & Bernardo A34 X A25.  Gerdes, Behr, Coors & Tracey indicate C15 = A34 and 8-29 = A25.",USA,Breeding material,A308
Ames 23419,18,21,False,Maize.Group.Ames.Panel.2010,C6 X H,USA,Breeding material,A310
Ames 23439,27,54,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,A480
Ames 23442,17,20,False,Maize.Group.Ames.Panel.2010,A163 X W283.  A163 derives from the cross (A2 X 47).  Both A2 and 47 derive from Minnesota 13.,USA,Breeding material,A498
Ames 23444,17,20,False,Maize.Group.Ames.Panel.2010,A163 X W283.  A163 derives from the cross (A2 X 47).  Both A2 and 47 derive from Minnesota 13.,USA,Breeding material,A500
Ames 23445,17,19,False,Maize.Group.Ames.Panel.2010,A334 X Haney's Minnesota No. 13,USA,Breeding material,A502
Ames 23455,27,43,False,Maize.Group.Ames.Panel.2010,(A165 x Pioneer Long Ear) x A165,USA,Breeding material,A588
Ames 23457,19,33,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,A618
