accession,n_traits,total_trait_envs,deepest_trait_envs,n_traits_ge2env,snptools_evidence,PLANT_NAME,collection,IMPROVEMENT_LEVEL,countryOfOriginCode,pedigree
PI 550473,48,1496,70,38,pi_link,B73,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Selected from advanced recurrent selection population (C5) of Iowa Stiff Stalk Synthetic (BSSS).
PI 558532,46,879,36,33,pi_link,Mo17,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,CI 187-2/C103
PI 198897,45,58,3,12,name_match_only,4F-306 108,Maize.Group.Ames.Panel.2010,Breeding material,ARG,
PI 257506,45,148,7,27,pi_link,F2,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,FRA,Open Pollinated Lacaune.
PI 358523,45,76,4,22,pi_link,Il14H,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,
PI 257507,44,95,5,26,pi_link,F7,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,FRA,Open Pollinated Lacaune.
PI 257513,43,68,4,19,pi_link,F115,Maize.Group.Ames.Panel.2010,Breeding material,FRA,Ia 153 (USA).
PI 587131,42,54,6,7,name_match_only,HP301,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Supergold Popcorn
PI 587139,40,861,37,31,pi_link,A619,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,[(A171 X Oh43) Oh43]
PI 587140,39,849,36,31,pi_link,A632,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,[(Mt42 X B14) B14(3)]
PI 550467,38,76,9,27,pi_link,B37,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Selected from Iowa Stiff Stalk Synthetic. (BSSS-C0)
PI 587128,38,109,5,28,pi_link,H84,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,(B37 x GE440)HtHt
PI 587124,38,823,34,31,pi_link,CM105,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,CAN,V3 / 2* B14
PI 587153,37,829,37,31,pi_link,W117,Maize.Group.Ames.Panel.2010,Breeding material,USA,(643 x Minn. 13)
PI 690332,37,58,4,17,pi_link,Oh43,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Oh40B X W8
PI 587137,37,61,5,19,name_match_only,Ms71,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,A619 x R168
PI 600958,36,54,4,14,pi_link,FAPW,Maize.Group.PVP,Cultivar,USA,B14AH X B37H .  B14AH is a backcross recovered B14A line with the northern leaf blight resistance gene Ht1 donated by the inbred LFP.  B37H is a backcross recovered B37 with the Ht1 gene donated by Ge440.
PI 600791,36,77,4,27,pi_link,LH38,Maize.Group.PVP,Cultivar,USA,A619Ht x L120 .  L120 is a Holden's Foundation Seeds private line related to the Oh43 family of maize.
PI 600751,36,54,4,14,name_match_only,Seagull Seventeen,Maize.Group.PVP,Cultivar,USA,Mo17 X (other unknown parent) .  First observed as an off type in a large field of Mo17.
PI 564682,36,77,4,26,pi_link,B97,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Iowa Corn Borer Synthetic No. 1 [BSCB1(R)C9]-2
PI 587148,36,104,5,28,name_match_only,CI 66,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,L97 X K55 (2)
PI 601004,35,77,4,28,pi_link,LH132,Maize.Group.PVP,Cultivar,USA,(H93 X B73) X B73
PI 600729,35,64,3,27,name_match_only,LP1 NR HT,Maize.Group.PVP,Cultivar,USA,182Ht1-Blk-1 .  182Ht1-Blk-1 is a private selection related to A632 with Helminthosporium turcicum resistance and was the recurrent male parent.
PI 601005,35,77,4,29,pi_link,PH207,Maize.Group.PVP,Cultivar,USA,G3BD2 X G3RZ1 specifically G3BD2/G3RZ1)X154X1X
PI 601006,35,77,4,29,pi_link,PHG50,Maize.Group.PVP,Cultivar,USA,848 X 207 specifically 848/207)X1321X
PI 601008,35,92,4,29,pi_link,PHG35,Maize.Group.PVP,Cultivar,USA,G3BD2 X H7FS6 specifically G3BD2<4B3W37A/H7FS6)X8112111
PI 601026,35,75,4,28,pi_link,F42,Maize.Group.PVP,Cultivar,USA,Mutation induction of B73 with nitrosoquanidine.
PI 369437,35,47,3,11,pi_link,80-2,Maize.Group.Ames.Panel.2010,Breeding material,POL,
PI 601211,35,75,4,27,pi_link,78010,Maize.Group.PVP,Cultivar,USA,B73 X A634 .  B73 derives from Iowa Stiff Stalk Synthetic.  A634 is (Mt42 X B14 BC3).
PI 600981,35,76,4,28,pi_link,PHG39,Maize.Group.PVP,Cultivar,USA,A33GB4 x A34CB4 specifically A33GB4/A34CB4)X312XE
PI 601320,34,73,4,27,pi_link,PHG84,Maize.Group.PVP,Cultivar,USA,"848 X 595 specifically 848/595)X2X11242 .  Variety 595 was derived from pedigree selection from PHAN0 X 082. Variety PHAN0 was derived from Female Composite Open Pollinated. The open pollinated means that after the bridging crosses were made it was open pollinated. Variety 082 was derived from OH07 and an inbred derived from Midland Yellow Dent from Kansas.  Variety 595 has a relative genotypic contribution from 50% Female Composite, 25% Midland Yellow Dent, 12.5% Illinois Long Ear, and 12.5% Illinois Two Ear."
PI 693334,34,58,6,17,pi_link,R168,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Illinois Synthetic
PI 550441,34,114,6,27,pi_link,Mo18W,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,WF9/Mo22
PI 690331,34,45,5,6,pi_link,Oh7B,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,See Hansey et.al. 2011
PI 690329,34,147,7,25,pi_link,NC350,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Derived from an experimental line sharing the same pedigree of NC296 with an experimental line from the hybrid H101 from El Salvador
PI 601316,34,98,5,27,pi_link,LH54,Maize.Group.PVP,Cultivar,USA,(Mo17 X (610 X Mo17)) X Mo17
PI 601159,34,49,3,13,pi_link,6103,Maize.Group.PVP,Cultivar,USA,(10631 X A632) X (RB14AHtA X RB14AHtB) .  10631 is an Asgrow proprietary inbred.  The other three inbreds are public lines.
PI 601170,34,76,4,28,pi_link,LH82,Maize.Group.PVP,Cultivar,USA,610 X LH7
PI 600944,34,88,4,27,pi_link,LH39,Maize.Group.PVP,Cultivar,USA,Oh43 x L120 .  Oh43 was developed by the Ohio Agricultural Research and Development Center and released in 1949.  L120 is a Holden's Foundation Seeds private line related to the Oh43 family of maize.
PI 550472,33,51,3,16,pi_link,B57,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Selected from open-pollinated 'Midland'.
PI 506246,33,103,6,25,name_match_only,Tzi 8,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,NGA,TZB/TZSR
PI 601584,33,61,3,26,pi_link,OQ603,Maize.Group.PVP,Cultivar,USA,Pioneer 3713 hybrid
PI 693397,33,76,4,26,pi_link,Oh40B,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,8-line composite of Lancaster Surecrop lines
PI 690326,33,75,4,27,pi_link,Ky21,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,See Hansey et.al. 2011
NSL 30053,33,67,4,17,pi_link,W22,Maize.Group.Ames.Panel.2010,Breeding material,USA,See Hansey et.al. 2011
PI 693333,33,39,4,3,pi_link,H95,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,OH43 x CI90A
PI 601404,32,61,3,27,pi_link,LH60,Maize.Group.PVP,Cultivar,USA,LH55 X LH47 .  LH55 and LH47 are proprietary lines of Holden's.  The pedigree of LH47 is (Va35 X H20) X Va35 and the pedigree of LH55 is (Mo17 X W64A) X Mo17.
PI 693326,32,65,4,16,name_match_only,Va59,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,(C103 x T8^2)(K4 x C103^2)
PI 601783,32,51,3,17,pi_link,PHN82,Maize.Group.PVP,Cultivar,USA,PHG29 X HD38 specifically PHG29/HD38)X5333X
PI 607381,32,49,3,15,pi_link,B110,Maize.Group.Ames.Panel.2010,Breeding material,USA,BS13(S)C5-12-2-1-1-1-1-1-1-1-1
PI 601301,32,69,4,25,pi_link,78002A,Maize.Group.PVP,Cultivar,USA,B73 X A634 .  B73 derives from Iowa Stiff Stalk Synthetic.  A634 is (Mt42 X B14 BC3).
PI 595541,32,86,5,25,name_match_only,CML 247,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,MEX,Pool 24: (Pool 24 FS119*FS54)-6-4-1-1-BB-f .  Pool 24 is also named Tropical late white dent (TLWD) and its components are mainly Tuxpeno materials from Mexico and late maturity materials from Central America.
Ames 27196,32,65,4,17,name_match_only,Yu796_NS,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,SRB,Vucovar Yellow dent variety
PI 595550,32,111,8,14,name_match_only,CML 277,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,MEX,"Population 43: Ferke 8243-51-1-1-B-##-1-BB-# .  Population 43 is also named La Posta and its components is a Tuxpeno synthetic composed of 16 inbred lines (1 ETO Blanco S1 & 15 S1s of Tuxpe?o collection, formed in 1963)."
PI 693327,32,98,4,27,pi_link,C103,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Lancaster Surecrop (from Noah Hershey)
PI 693367,31,47,3,15,pi_link,IL101T,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,
PI 690401,31,50,3,17,pi_link,NC310,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Improved B73-type line derived from NC250 x B73
PI 601784,31,34,2,3,pi_link,PHP55,Maize.Group.PVP,Cultivar,USA,PHG44 X PHG29 specifically PHG44/PHG29)X31R11X
PI 601375,31,57,2,26,pi_link,778,Maize.Group.PVP,Cultivar,CAN,W117 X B37Ht .  W117 is a public line developed by the Wisconsin Agricultural Experiment Statation derived from 643 X Minnesota 13.  B37Ht is a Northrup King proprietary line developed from B37 a line developed at Iowa State University.
PI 601575,31,83,4,27,pi_link,PHW52,Maize.Group.PVP,Cultivar,USA,B73 X G39 specifically B73/G39)X411242X
PI 601788,31,59,3,26,pi_link,PHT22,Maize.Group.PVP,Cultivar,USA,207 X HD12 specifically 207/HD12)X7113XX
PI 601781,31,34,2,3,pi_link,PHN37,Maize.Group.PVP,Cultivar,USA,"CM11 X 041Ht specifically CM11/041Ht)X33213X.  CM11 and 041Ht are proprietary lines of Pioneer Hi-Bred International, Inc."
PI 685984,31,68,4,22,pi_link,792,Maize.Group.PVP,Cultivar,USA,"Since the PVP application was withdrawn, public PVP certificate and pedigree was not available.  SNP analysis indicated that of over two thousand lines analyzed, 790, 793, and 794 were the most closely related.  Their pedigrees were give as 235 X B73 with 235 being a proprietary derivitive of A635.  It seems likely that at least some portion of this inbred's pedigree contains these inbreds."
PI 693374,31,48,3,16,pi_link,Oh43E,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,See Hansey et.al. 2011
PI 601792,31,33,2,2,pi_link,PHW43,Maize.Group.PVP,Cultivar,USA,995 X G35 specifically 995/G35)X33311X
PI 601567,31,34,2,3,pi_link,PHH93,Maize.Group.PVP,Cultivar,USA,PH806 X 207 specifically  PH806/207)X62111 .  Both PH806 and 207 are proprietary lines of Pioneer.
PI 706557,31,90,6,15,pi_link,Ki21,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,THA,Pacific 9-S8-45
PI 693348,31,91,5,27,pi_link,H49,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,(WF9 x L97)WF9
PI 601775,31,34,2,3,pi_link,PHJ70,Maize.Group.PVP,Cultivar,USA,"AC26 X B73Ht specifically AC26/B73Ht)X9312121X.  AC26 is a proprietary inbred of Pioneer Hi-Bred International, Inc. and B73Ht is a public inbred line selected from Iowa Stiff Stalk Synthetic and Iowa State University."
PI 550558,31,36,3,4,name_match_only,DE811,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Developed from selfing and selection for 6 generations the cross B68 and an inbred derived from B37 Ht//(C103/Mp3204 double cross)selection.
PI 601360,31,48,3,15,pi_link,LH52,Maize.Group.PVP,Cultivar,USA,(Mo17 X (610 X Mo17)) X Mo17
PI 690324,31,134,9,16,pi_link,Ki3,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,THA,Suwan 1(S)C4-S8-5-3 (2007)
PI 693362,31,98,5,26,pi_link,EP1,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,ESP,Spanish population 'Lizargarate'
PI 607384,31,50,3,16,pi_link,B114,Maize.Group.Ames.Panel.2010,Breeding material,USA,CIMMYT Pool 41-C15-19-2-1-1-1-1-1-1-1-1
PI 601776,31,34,2,3,pi_link,PHJ75,Maize.Group.PVP,Cultivar,CAN,207 X G96 specifically 207/G96)X12241
PI 690321,31,63,4,16,name_match_only,CML 322,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,MEX,Recy W.: 89[L/LMBR]17-B-5-3-1-4-B*4
PI 538007,30,71,4,26,pi_link,LH127,Maize.Group.PVP,Cultivar,USA,(LH122 X LH58) X LH122
PI 537100,30,54,2,24,pi_link,LH210,Maize.Group.PVP,Cultivar,USA,"LH51 X BS11LHC3S3  The population, BS11LHC3 was developed by Holden's Foundation Seeds from the original poulation BS11RFC3 obtained from Iowa State University in 1977."
PI 601566,30,32,2,2,pi_link,MBST,Maize.Group.PVP,Cultivar,USA,4726-1 X LH38 .  The PVP certificate indicates pollen harvested from LH38 in Indiana was used to pollinate 4726-1 in Ohio. 
PI 565103,30,54,2,24,pi_link,PHFA5,Maize.Group.PVP,Cultivar,USA,PHK76 X (PHG49 X PHG25) specifically PHK76/PHG48*PHG25)X642116412
PI 601489,30,35,3,4,pi_link,740,Maize.Group.PVP,Cultivar,USA,Mo17 X Mexican Deep Kernel.  Mo17 is a public inbred line developed by the University of Missouri from the cross 187-2 X Cl03. Mexican Deep Kernel is a Northrup King Co. proprietary open pollinated deep kernel source variety obtained from Mexico. 
PI 537099,30,33,2,3,pi_link,LH205,Maize.Group.PVP,Cultivar,USA,LH74 X LH119
PI 565101,30,54,2,24,pi_link,PHEM9,Maize.Group.PVP,Cultivar,CAN,PHB49 X PHJ40 specifically PHB49/PHJ40)XA82K21K22K22K21K2
PI 565100,30,54,2,24,pi_link,PHAW6,Maize.Group.PVP,Cultivar,USA,PHN82 X PHM49 specifically PHN82/PHM49)MWX822345X
PI 601470,30,68,3,27,pi_link,PHV78,Maize.Group.PVP,Cultivar,USA,"G42 X 595 specifically G42/595)X1112X .  Variety 595 was derived from pedigree selection from PHAN0 X 082. Variety PHAN0 was derived from Female Composite Open Pollinated. The open pollinated means that after the bridging crosses were made it was open pollinated. Variety 082 was derived from OH07 and an inbred derived from Midland Yellow Dent from Kansas.  Variety 595 has a relative genotypic contribution from 50% Female Composite, 25% Midland Yellow Dent, 12.5% Illinois Long Ear, and 12.5% Illinois Two Ear."
PI 559950,30,82,4,24,pi_link,PHT73,Maize.Group.PVP,Cultivar,USA,PHK05 X PHG68 specifically PHK05/PHG68)X922312241X
PI 539921,30,71,4,26,pi_link,LH162,Maize.Group.PVP,Cultivar,USA,ND246 X Early Mo17 Composite
PI 559384,30,55,2,25,name_match_only,ICI 986,Maize.Group.PVP,Cultivar,USA,Pioneer 3540 hybrid.  This hybrid was selfed as Pioneer Brand experimental hybrid X0165.
PI 601610,30,57,3,26,pi_link,H8431,Maize.Group.PVP,Cultivar,USA,"(377 X B386) X 347 .  All three parents are Northrup King proprietary lines originating from derivatives of Iowa Stiff Stalk Synthetic. Specifically, 377 derived from Iowa's B73, B386 derived from Minnesota's A632, and 347 derived from Iowa's B14. "
PI 550532,30,47,3,16,pi_link,ND251,Maize.Group.Ames.Panel.2010,Breeding material,USA,"Selected from Rumanian Syn. D, with 7 generations of self- pollination and selection for plant and ear traits."
PI 559381,30,60,4,25,name_match_only,ICI 441,Maize.Group.PVP,Cultivar,USA,Pioneer 3377 hybrid X BEAD.  P3377 is a Pioneer proprietary hybrid.  BEAD is equivalent to Holden's proprietary line LH132.  Five plants of P3377 were pollinated with pollen from BEAD.
PI 550489,30,47,3,16,pi_link,ND245,Maize.Group.Ames.Panel.2010,Breeding material,USA,CK98/ND12Rf
PI 601684,30,33,2,3,pi_link,WIL900,Maize.Group.PVP,Cultivar,USA,82C43-913-4-3-3-1-1 .  Wilson proprietary exotic population 82C43 was formed by intermating the public line Mo17 and selections from the race Tuxpeno.
PI 601686,30,34,2,4,pi_link,WIL903,Maize.Group.PVP,Cultivar,USA,82C43-913-3-2-1-1-1 .  Wilson proprietary exotic population 83C43 was formed by intermating the public line Mo17 and selections from the race Tuxpeno.
PI 601728,30,34,2,4,name_match_only,L 139,Maize.Group.PVP,Cultivar,FRA,Pioneer 3901 hybrid X Pioneer 3780 hybrid.
PI 539923,30,34,2,4,pi_link,LH194,Maize.Group.PVP,Cultivar,USA,LH117 X LHE137 .  LH117 and LHE137 are both proprietary lines of Holden's.  LH117 was derived from public inbreds H93 and B73. The pedigree of LH117 is B73 X LH1 and the pedigree of LHE137 is (B73 X H60) X B73.
PI 548807,30,78,3,24,pi_link,PHT11,Maize.Group.PVP,Cultivar,USA,G39 X PHG69 specifically G39/PHG69)XQ3K61K31K7AOK41
PI 548806,30,100,4,25,pi_link,PHR61,Maize.Group.PVP,Cultivar,USA,G39 X PHG69 specifically 39/PHG69)XQ3K312K21K21
PI 559943,30,82,4,24,pi_link,PHN18,Maize.Group.PVP,Cultivar,USA,PHDK6 X PHNN2 specifically PHDK6/PHNN2)X1111K113
PI 543848,30,30,1,0,pi_link,PHW06,Maize.Group.PVP,Cultivar,CAN,207 X PHG36 specifically 207/PHG36)X12321
PI 543844,30,63,3,23,pi_link,PHN46,Maize.Group.PVP,Cultivar,USA,PHZ51 X PHV78 specifically PHZ51/PHV78)X1113X
PI 601574,30,57,3,26,pi_link,PHT60,Maize.Group.PVP,Cultivar,USA,PHW94 X PHV80 specifically PHW94/PHV80)2111
PI 565104,30,54,2,24,pi_link,PHHB9,Maize.Group.PVP,Cultivar,USA,PHG86 X PHW52 specifically PHG86/PHW52)X1111XX
PI 565102,30,54,2,24,pi_link,PHEW7,Maize.Group.PVP,Cultivar,USA,G39 X PHK29 specifically G39/PHK29)XA11211XX
Ames 23507,30,54,11,15,pi_link,C42,Maize.Group.Ames.Panel.2010,Breeding material,USA,Golden Bantam
PI 601560,30,49,3,18,pi_link,2MA22,Maize.Group.PVP,Cultivar,USA,4780 X 5P9-1 .  The pedigree of 4780 is A2E X MDF-13A.  The pedigree of 5P9-1 is A295 X 3J3.
PI 601502,30,33,2,3,pi_link,W8304,Maize.Group.PVP,Cultivar,USA,"(B14A X B73) X B73 . Both parents are public inbred lines originating from the Iowa Agricultural Experiment Station, Ames, Iowa. "
PI 198892,30,33,2,3,name_match_only,4F-234 BX 4,Maize.Group.Ames.Panel.2010,Breeding material,ARG,
PI 690610,30,61,4,16,name_match_only,CML 323,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,MEX,"Population 33: P 33c2(STE)-102-2-B-2-B-1-B*3 .  Population 33 is also named Subtropical Temperate Intermediate Yellow Flint its components are yellow/orange flint segregates from the same germplasm used to form Pool 31, in addition to ""Temperate yellow flint composite"" (including germplasm from Europe, China, Mexico, Central and South America, and the USA), and other yellow germplasm from Europe, China, Mexico, South America, and the USA."
PI 693330,30,82,4,26,pi_link,C123,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,C102 x C103
PI 601458,30,33,2,3,pi_link,IBB15,Maize.Group.PVP,Cultivar,USA,J6 X (J6 X W70884) specifically J6''W70884-4223B.  J6 was derived by selfing Pioneer 3901 hybrid.  W70884 was derived by selfing Pioneer 3306 hybrid.
PI 146368,30,76,5,27,name_match_only,CI 7,,Breeding material,USA,(JC33 x L317)-B-B-S1-2-3-X Composite
PI 601498,30,46,3,15,pi_link,PHT55,Maize.Group.PVP,Cultivar,USA,A33GB4 x A34CB4 specifically A33GB4/A34CB4)X311A5
PI 601417,30,55,3,24,pi_link,NS701,Maize.Group.PVP,Cultivar,USA,A632 X B73Ht
PI 601558,30,56,3,25,pi_link,11430,Maize.Group.PVP,Cultivar,USA,"A composite of 12 private inbred lines whose background included Oh43, H99, and Mo17."
PI 591619,30,33,2,3,pi_link,ZS1791,Maize.Group.PVP,Cultivar,USA,LH132 X LH117.  LH117 and LH132 are both proprietary lines of Holden's.  The pedigree of LH117 is B73 X LH1.
PI 578034,30,30,1,0,pi_link,PHTE4,Maize.Group.PVP,Cultivar,USA,PHN15 X PHJ40 specifically PHN15/PHJ40)X21213KXX
PI 693376,30,82,5,26,pi_link,SC55,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,(L501 x L503) x (L548 x L569)
PI 601441,30,32,2,2,pi_link,PB80,Maize.Group.PVP,Cultivar,USA,(1067-1 X B73) X (B73Ht.1 BC6)
PI 578032,30,55,2,25,pi_link,PHEM7,Maize.Group.PVP,Cultivar,USA,PHT64 X PHW23 specifically PHT64/PHW23)X161142421X
PI 601563,30,71,4,26,pi_link,87916W,Maize.Group.PVP,Cultivar,USA,(B73 X W37-2 -B1-1-B1) .  The original red cob 87916W was the result of selfing B73 backcrossed three times as the recurrent parent to the donor white line W37-2.  This red cob version was crossed again to W37-2 and the F1 was backcrossed twice to the original 87916W selecting for white kernel and white cob. 
PI 601494,30,47,3,16,pi_link,LH65,Maize.Group.PVP,Cultivar,USA,"(Mo17 X LH18) X LH53 . LH53 is a proprietary line of Holdens and the pedigree is ""Mo17 HI"".
"
PI 690318,30,93,6,25,name_match_only,CML 69,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,MEX,"Population 36: P 36C5F37-2-1-1-b1#b1-b1#b1-b1 .  Population 36 is also named Cogollero and it is a Caribbean composite involving 165 accessions from all the Caribbean islands. About 50 families from the Insect Disease Resistance Nursery (IDRN) population, 20 families from Pool 22, and 26 families from Pool 26."
PI 601493,30,32,2,2,pi_link,LH149,Maize.Group.PVP,Cultivar,USA,((A662 x B73 S1) X B73) X B73
PI 601492,30,81,4,25,pi_link,793,Maize.Group.PVP,Cultivar,USA,235 X B73 .  The parent 235 is a Northrup King Co. proprietary line developed from a multiple ear source and the public line A635 from the Minnesota Agricultural Experiment station. The parent B73 is a public line released by the Iowa Agricultural Experiment station which was derived from Iowa state stiff stalk synthetic.
PI 601438,30,33,2,3,pi_link,78371A,Maize.Group.PVP,Cultivar,USA,(4726 X Iowa Long Ear) X 4726.  Inbred 4726 is derived from the cross H4106 X 4301.  Iowa Long Ear (BSLE) is a heterogeneous population received from Dr. Arnel Hallauer at Iowa State University.
PI 690328,30,139,7,25,pi_link,M162W,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,ZAF,K64R^2.B1138T
Ames 2333,30,47,3,16,name_match_only,Yong 28,Maize.Group.Ames.Panel.2010,Breeding material,CHN,
Ames 22747,30,46,2,16,pi_link,CM48,Maize.Group.Ames.Panel.2010,Cultivar,CAN,Selection from Greece.
PI 565110,30,40,2,10,pi_link,PHRE1,Maize.Group.PVP,Cultivar,USA,PHJ40 X PHR47 specifically PHJ40/PHR47)XA72124412
PI 583774,30,81,3,26,pi_link,ML606,Maize.Group.PVP,Cultivar,USA,LK2 X LH38 .  LK2 is a proprietary line of (H99 X Va26) X H99 parentage.  LH38 was derived from A619Ht x L120.
PI 559916,29,31,2,2,pi_link,CS405,Maize.Group.PVP,Cultivar,USA,B73 X K81
PI 587144,29,36,4,4,pi_link,Mo24W,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,(K10 x Ky49/Ziler Hi-Cob)
PI 595565,29,95,5,25,name_match_only,CML 287,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,MEX,"Population 24:(Pop.24 x Pop.27)-4-1-B-1-1-BB-## .  Population 24 is also named Antigua-Veracruz 181 and its components are Tuxpeno race collections Veracruz 181 and Antigua Group-2 (Antigua collections 1D to 8D).  Population 27 is also named Amarillo Cristalino-1 and its components are Tuxpeno, Cuba flints, ETO amarillo, and 15 families from the tropical late yellow flint pool (Pool 25)."
PI 559917,29,78,4,25,pi_link,MQ305,Maize.Group.PVP,Cultivar,USA,Pioneer 3901 hybrid X CB59G .  The pedigree of CB59G is (R168 X B14A)B59(2).  CB59G is a stiff-stalk inbred from Cornelius Hybrids via Holden's Foundation Seeds.
PI 565108,29,52,2,23,pi_link,PHMK0,Maize.Group.PVP,Cultivar,USA,PHK29 X PHME5 specifically PHK29/PHME5)XA21123312
PI 559383,29,31,2,2,name_match_only,ICI 893,Maize.Group.PVP,Cultivar,USA,(B73 X Pa91) X B73
PI 594080,29,34,3,3,pi_link,N534,Maize.Group.Ames.Panel.2010,Breeding material,USA,Inbred from Nebraska B synthetic following twelve cycles of full-sib recurrent selection to sub-optimal temperatures using growth chamber evaluations.
PI 559382,29,55,3,25,name_match_only,ICI 740,Maize.Group.PVP,Cultivar,USA,Pioneer 3377 hybrid X BEAD.  P3377 is a Pioneer proprietary hybrid.  BEAD is equivalent to Holden's proprietary line LH132.  Five plants of P3377 were pollinated with pollen from BEAD.
PI 594084,29,34,3,3,pi_link,N538,Maize.Group.Ames.Panel.2010,Breeding material,USA,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.
PI 594086,29,33,3,3,pi_link,N540,Maize.Group.Ames.Panel.2010,Breeding material,USA,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.
PI 594091,29,34,3,3,pi_link,N545,Maize.Group.Ames.Panel.2010,Breeding material,USA,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.
PI 559375,29,55,3,25,pi_link,LH222,Maize.Group.PVP,Cultivar,USA,"LH74 X (LH74 X (LH74 X CM174) .  A public line CM174 released by the Canadian Agricultural Research Station in Morden, Manitoba was the donor line for earliness backrossed to the recurrent parent, proprietary Holden's Foundation Seeds, Inc. line LH74."
PI 601490,29,69,4,24,pi_link,787,Maize.Group.PVP,Cultivar,USA,Va17 X Va29.  Both parents are public inbred lines developed at the Virginia Polytechnical Institute. The variety Va17 is derived from a cross WF9 X T8. The variety Va29 is derived from the open pollinated variety Golden Queen.
PI 557569,29,58,3,25,pi_link,LH216,Maize.Group.PVP,Cultivar,USA,((LH51 X (LH51 X LH123Ht))S2) X LH51
PI 557562,29,43,2,14,pi_link,LH197,Maize.Group.PVP,Cultivar,USA,"LH132 X B84 .  LH132 is a proprietary line of Holden's Foundation Seeds, Inc.  B84 is a public line developed by Iowa State University."
PI 557557,29,34,2,5,pi_link,912,Maize.Group.PVP,Cultivar,USA,Pioneer 3737 hybrid
PI 557556,29,34,2,5,pi_link,911,Maize.Group.PVP,Cultivar,USA,Pioneer 3737 hybrid
PI 559919,29,31,2,2,pi_link,OQ101,Maize.Group.PVP,Cultivar,USA,Pioneer 3906 hybrid X ND246
PI 559944,29,59,4,25,pi_link,PHP85,Maize.Group.PVP,Cultivar,USA,PHK29 X PHW52 specifically PHK29/PHW52)X521112135X
