accession,n_traits,total_trait_envs,deepest_trait_envs,n_traits_ge2env,snptools_evidence,PLANT_NAME,collection,IMPROVEMENT_LEVEL,countryOfOriginCode,pedigree
PI 658504,26,27,2,1,pi_link,PHWRZ,Maize.Group.PVP,Cultivar,USA,PHB9E X PH7CR specifically PHB9E/PH7CR)XC01241X .  PHB9E was derived from PH1H4 X PHlCN.  PHIH4 was derived from  PHRE1 X PHHB4.  PH7CR was derived from PH1H4 X PH42B.
Ames 27029,26,66,4,25,pi_link,CL27,Maize.Group.Ames.Panel.2010,Breeding material,CAN,CO106 / CO109 // New England Flint OA / ACA179
PI 642029,26,27,2,1,pi_link,LH299,Maize.Group.PVP,Cultivar,USA,LH277 X (LH168 X LH176)
Ames 24585,26,65,3,25,pi_link,CG10,Maize.Group.Ames.Panel.2010,Breeding material,CAN,European material.
Ames 27057,26,42,3,15,pi_link,CSJ3,Maize.Group.Ames.Panel.2010,Breeding material,CAN,
PI 587146,25,33,4,4,pi_link,Oh7,Maize.Group.Ames.Panel.2010,Breeding material,USA,CI.540 x Ill. L
Ames 30553,25,44,2,19,pi_link,W601S,Maize.Group.Ames.Panel.Post.2010,Breeding material,USA,See Hansey et.al. 2011
PI 660677,25,25,1,0,pi_link,T276,,Breeding material,USA,T173x(T250xMo17) - S9
PI 587127,25,32,3,4,pi_link,H105W,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,33-16 / 3* A632
PI 271641,25,25,1,0,pi_link,1278,,Cultivated material,IND,
PI 584529,25,34,5,5,pi_link,B100,Maize.Group.Ames.Panel.2010,Breeding material,USA,(B85 x H99)H99-361.
PI 271639,25,25,1,0,pi_link,1081,,Cultivated material,IND,
PI 271638,25,25,1,0,pi_link,1080,,Cultivated material,IND,
PI 690334,24,56,4,16,pi_link,Tx303,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,See Hansey et.al. 2011
PI 706821,24,24,1,0,pi_link,FR218,,Cultivar,USA,Derived from B73
PI 271640,24,24,1,0,pi_link,1127,,Cultivated material,IND,
PI 271642,24,24,1,0,pi_link,1280,,Cultivated material,IND,
PI 200182,24,25,2,1,name_match_only,NY 159 (Neveh Yaar),Maize.Group.Ames.Panel.2010,Breeding material,ISR,
PI 587136,24,32,6,3,name_match_only,Ky228,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Pride of Saline
NSL 65866,24,41,3,15,pi_link,B14,Maize.Group.Ames.Panel.2010,Breeding material,USA,Iowa Stiff Stalk Synthetic (BSSS)
Ames 30573,24,43,2,19,pi_link,W816G,Maize.Group.Ames.Panel.Post.2010,Breeding material,USA,See Hansey et.al. 2011
PI 594049,24,29,3,3,pi_link,B106,Maize.Group.Ames.Panel.2010,Cultivar,USA,BS26-2-552-1-1-1-1-1-1-1-1-1-1-1-1
Ames 28937,24,40,3,14,name_match_only,Mo39,Maize.Group.Ames.Panel.2010,Breeding material,USA,See Hansey et.al. 2011
Ames 21882,24,24,1,0,pi_link,1050,,Wild material,MEX,
Ames 21875,24,24,1,0,pi_link,VIII.B. 11,,Wild material,MEX,
Ames 21872,24,24,1,0,pi_link,VIII.B. 7,,Wild material,MEX,
PI 584528,23,28,3,3,pi_link,B99,Maize.Group.Ames.Panel.2010,Breeding material,USA,Iowa Corn Borer Synthetic No. 1 [BSCB1(R)C10-7233].
PI 564683,23,26,3,2,pi_link,B98,Maize.Group.Ames.Panel.2010,Breeding material,USA,Pioneer Two-ear Composite [BS11(FR)C5]-2803
PI 693325,22,27,3,3,pi_link,Va17,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,WF9 x T8
Ames 21874,22,22,1,0,pi_link,VIII.B. 9,,Wild material,MEX,
PI 607382,22,25,3,2,pi_link,B111,Maize.Group.Ames.Panel.2010,Breeding material,USA,BSSS(R)C9-107-1-1-2-1-1-1-1-1-1-1-1
PI 564852,22,26,3,2,pi_link,B101,Maize.Group.Ames.Panel.2010,Breeding material,USA,BSSSCO-53-1-1-1-1-1-1-1.
PI 405707,21,25,3,3,name_match_only,HUA 94 INBRED,Maize.Group.Ames.Panel.2010,Breeding material,CHN,
PI 391672,21,24,3,2,pi_link,YANG,Maize.Group.Ames.Panel.2010,Breeding material,CHN,
