sample,field,raw,key,n_acc,accs,risky,runs,x_cov,platform
SAMN41221335,sample_alias,38,38,1.0,PI 520630,True,1,5.1,ILLUMINA
SAMN14255842,cultivar,A6,A6,1.0,PI 693350,True,1,5.1,ILLUMINA
SAMN31532525,isolate,4,4,1.0,PI 357093,True,1,5.1,ILLUMINA
SAMN17614603,isolate,2,2,1.0,Ames 13506,True,1,5.1,ILLUMINA
SAMN44603639,isolate,1,1,1.0,Ames 13505,True,1,5.1,COMPLETE_GENOMICS
SAMN31532524,isolate,2,2,1.0,Ames 13506,True,1,5.1,ILLUMINA
SAMN14255852,cultivar,N6,N6,1.0,PI 693372,True,1,5.1,ILLUMINA
SAMN44603366,isolate,1,1,1.0,Ames 13505,True,1,5.1,COMPLETE_GENOMICS
SAMN44603544,isolate,1,1,1.0,Ames 13505,True,1,5.1,COMPLETE_GENOMICS
SAMN14255846,cultivar,CM7,CM7,2.0,Ames 27070;Ames 35263,False,1,5.0,ILLUMINA
SAMN14255840,cultivar,H5,H5,1.0,PI 698952,True,1,5.0,ILLUMINA
SAMN14255839,cultivar,H5,H5,1.0,PI 698952,True,1,5.0,ILLUMINA
SAMN14114076,cultivar,Gaspe,GASPE,2.0,PI 340833;PI 340834,False,1,5.0,ILLUMINA
SAMN14255847,cultivar,CM7,CM7,2.0,Ames 27070;Ames 35263,False,1,5.0,ILLUMINA
SAMN14255851,cultivar,N6,N6,1.0,PI 693372,True,1,5.0,ILLUMINA
SAMN31532454,isolate,4,4,1.0,PI 357093,True,1,5.0,ILLUMINA
SAMN17614592,isolate,1,1,1.0,Ames 13505,True,1,5.0,ILLUMINA
SAMN44603570,isolate,1,1,1.0,Ames 13505,True,1,5.0,COMPLETE_GENOMICS
SAMN44603579,isolate,1,1,1.0,Ames 13505,True,1,5.0,COMPLETE_GENOMICS
SAMN17776992,isolate,1,1,1.0,Ames 13505,True,1,5.0,ILLUMINA
SAMN31532503,isolate,4,4,1.0,PI 357093,True,1,5.0,ILLUMINA
SAMN44603585,isolate,1,1,1.0,Ames 13505,True,1,5.0,COMPLETE_GENOMICS
SAMN44603395,isolate,1,1,1.0,Ames 13505,True,1,5.0,COMPLETE_GENOMICS
SAMN31532283,isolate,3,3,2.0,Ames 13507;PI 520623,True,1,5.0,ILLUMINA
SAMN14255841,cultivar,H5,H5,1.0,PI 698952,True,1,5.0,ILLUMINA
SAMN31532381,isolate,3,3,2.0,Ames 13507;PI 520623,True,1,5.0,ILLUMINA
