Accession Name,accession,n_traits,total_envs,improvement,sra_runs,status
ENG-LICHIH,PI 427109,20.0,22.0,Breeding material,ERR10290099,adopted_in_view21
U-123,PI 369446,21.0,22.0,Breeding material,ERR10288632,adopted_in_view21
K10,PI 369438,20.0,22.0,Breeding material,SRR8906827,adopted_in_view21
NORTH7,Ames 2328,19.0,22.0,Breeding material,ERR10289315,adopted_in_view21
SG-30A,PI 686067,18.0,22.0,Breeding material,ERR10288633,adopted_in_view21
4578INBRED,PI 415086,19.0,21.0,Breeding material,ERR10290818,pending_or_below_15_traits
CML29,PI 595556,19.0,21.0,Breeding material,SRR8906717,adopted_in_view21
HI26,PI 593008,19.0,21.0,Breeding material,ERR10290083,adopted_in_view21
A415-1-3-INBRED,PI 221773,19.0,20.0,Breeding material,ERR10290802,adopted_in_view21
CML282,PI 595562,17.0,18.0,Breeding material,SRR8906973,adopted_in_view21
IA5125B,Ames 27117,17.0,18.0,Breeding material,ERR10290110,adopted_in_view21
CML305,PI 595571,17.0,17.0,Breeding material,SRR8906811,adopted_in_view21
CML28,PI 595555,17.0,17.0,Breeding material,SRR8906876,adopted_in_view21
CML325,PI 690611,15.0,16.0,Breeding material,SRR8907099,adopted_in_view21
CML289,PI 690602,15.0,15.0,Breeding material,SRR8906967,adopted_in_view21
CML486,Ames 34388,15.0,15.0,Cultivar,SRR8906727,adopted_in_view21
CML471,Ames 34387,15.0,15.0,Cultivar,SRR8906961,adopted_in_view21
CML451,Ames 34386,15.0,15.0,Cultivar,SRR8906725,adopted_in_view21
MO13,PI 558529,9.0,14.0,Breeding material,ERR10289354,pending_or_below_15_traits
MO7,PI 558516,9.0,14.0,Breeding material,ERR10289341,pending_or_below_15_traits
MO5,PI 558523,9.0,13.0,Breeding material,ERR10289350,pending_or_below_15_traits
MO3,PI 558522,8.0,12.0,Breeding material,ERR10289344,pending_or_below_15_traits
IA453,Ames 22030,9.0,11.0,Cultivar,ERR10290107,pending_or_below_15_traits
VA52,Ames 19014,8.0,11.0,Breeding material,ERR10288615,pending_or_below_15_traits
CHI-TAN120,PI 427111,8.0,11.0,Breeding material,ERR10290761,pending_or_below_15_traits
S-56,PI 535906,7.0,9.0,Cultivar,ERR10288625,pending_or_below_15_traits
S37,PI 535916,7.0,9.0,Cultivar,SRR11301854;SRR11301856;SRR8906716,pending_or_below_15_traits
Ying64,PI 391666,6.0,8.0,Breeding material,SRR11302034;SRR11302035,pending_or_below_15_traits
YE4,Ames 2335,6.0,7.0,Breeding material,ERR10288636,pending_or_below_15_traits
YELLOW3-4,Ames 2331,5.0,6.0,Breeding material,ERR10288612,pending_or_below_15_traits
Zi330,PI 452256,3.0,3.0,Breeding material,SRR11301638;SRR11301640;SRR8907137,pending_or_below_15_traits
TR,Ames 26022,0.0,0.0,Breeding material,ERR10288627,pending_or_below_15_traits
N42,Ames 34668,,,,CRR505688,pending_or_below_15_traits
Wu105,PI 442884,,,,SRR11301741,pending_or_below_15_traits
