sample,runs,bases,platform,strategies,studies,x_cov,accession,n_traits,in_snptools,collection,PLANT_NAME,matched
SAMN23456777,1,63427091700,BGISEQ,WGS,PRJNA783885,27.6,,,False,,,False
SAMN23456778,1,60275810100,BGISEQ,WGS,PRJNA783885,26.2,,,False,,,False
SAMN23456779,1,56573343300,BGISEQ,WGS,PRJNA783885,24.6,,,False,,,False
SAMN23456780,1,57315497700,BGISEQ,WGS,PRJNA783885,24.9,,,False,,,False
SAMN23456781,1,59059530300,BGISEQ,WGS,PRJNA783885,25.7,,,False,,,False
SAMN23456782,1,56037504900,BGISEQ,WGS,PRJNA783885,24.4,,,False,,,False
SAMN23456783,1,55796625000,BGISEQ,WGS,PRJNA783885,24.3,,,False,,,False
SAMN23456784,1,53831784000,BGISEQ,WGS,PRJNA783885,23.4,,,False,,,False
SAMN23456785,1,54583738200,BGISEQ,WGS,PRJNA783885,23.7,,,False,,,False
SAMN23456786,1,59608019700,BGISEQ,WGS,PRJNA783885,25.9,,,False,,,False
SAMN23456787,1,51696937200,BGISEQ,WGS,PRJNA783885,22.5,,,False,,,False
SAMN23456788,1,58355151900,BGISEQ,WGS,PRJNA783885,25.4,,,False,,,False
SAMN23456789,1,55112932500,BGISEQ,WGS,PRJNA783885,24.0,,,False,,,False
SAMN23456790,1,54610227600,BGISEQ,WGS,PRJNA783885,23.7,,,False,,,False
SAMN23456791,1,53530107300,BGISEQ,WGS,PRJNA783885,23.3,,,False,,,False
SAMN23456792,1,51377166600,BGISEQ,WGS,PRJNA783885,22.3,,,False,,,False
SAMN23456793,1,58792557600,BGISEQ,WGS,PRJNA783885,25.6,,,False,,,False
SAMN23456794,1,52419237600,BGISEQ,WGS,PRJNA783885,22.8,,,False,,,False
SAMN23456795,1,48741376500,BGISEQ,WGS,PRJNA783885,21.2,,,False,,,False
SAMN23456796,1,67360145700,BGISEQ,WGS,PRJNA783885,29.3,,,False,,,False
SAMN23456797,1,56179952100,BGISEQ,WGS,PRJNA783885,24.4,,,False,,,False
SAMN23456798,1,53674321200,BGISEQ,WGS,PRJNA783885,23.3,,,False,,,False
SAMN23456799,1,53638038900,BGISEQ,WGS,PRJNA783885,23.3,,,False,,,False
SAMN23456800,1,62064608700,BGISEQ,WGS,PRJNA783885,27.0,,,False,,,False
SAMN23456801,1,54744321900,BGISEQ,WGS,PRJNA783885,23.8,,,False,,,False
SAMN23456802,1,55090992900,BGISEQ,WGS,PRJNA783885,24.0,,,False,,,False
SAMN23456803,1,47960742300,BGISEQ,WGS,PRJNA783885,20.9,,,False,,,False
SAMN23456804,1,50060016000,BGISEQ,WGS,PRJNA783885,21.8,,,False,,,False
